TrackNumber,TimePoint,Position,CellFate,AreaMorphologyCh02,CVBgCorrectedCh01,CVImgDivByBgMinus1Ch01,CVImgMinusBgCh01,CVNoBgCorrectedCh01,MeanBgCorrectedCh01,MeanImgDivByBgMinus1Ch01,MeanImgMinusBgCh01,MeanNoBgCorrectedCh01,PerimeterMorphologyCh02,StdDevBgCorrectedCh01,StdDevImgDivByBgMinus1Ch01,StdDevImgMinusBgCh01,StdDevNoBgCorrectedCh01,SumBgCorrectedCh01,SumImgDivByBgMinus1Ch01,SumImgMinusBgCh01,SumNoBgCorrectedCh01,XMorphologyCh02,YMorphologyCh02,active,inspected,CVBgCorrectedCh02,CVImgDivByBgMinus1Ch02,CVImgMinusBgCh02,CVNoBgCorrectedCh02,MeanBgCorrectedCh02,MeanImgDivByBgMinus1Ch02,MeanImgMinusBgCh02,MeanNoBgCorrectedCh02,StdDevBgCorrectedCh02,StdDevImgDivByBgMinus1Ch02,StdDevImgMinusBgCh02,StdDevNoBgCorrectedCh02,SumBgCorrectedCh02,SumImgDivByBgMinus1Ch02,SumImgMinusBgCh02,SumNoBgCorrectedCh02
1,1,11,,258,nan,nan,nan,29.0939,nan,nan,nan,0.349443,66.7696,nan,nan,nan,0.101666,nan,nan,nan,100.29,363.317,606.599,1,0,nan,nan,nan,29.5846,nan,nan,nan,0.371524,nan,nan,nan,0.109914,nan,nan,nan,106.627
1,2,11,,232,nan,nan,nan,29.8085,nan,nan,nan,0.339102,63.598,nan,nan,nan,0.101081,nan,nan,nan,87.8275,362.843,609.062,1,0,nan,nan,nan,31.5614,nan,nan,nan,0.3952,nan,nan,nan,0.124731,nan,nan,nan,102.357
1,3,11,,261,nan,nan,nan,31.3543,nan,nan,nan,0.313874,69.598,nan,nan,nan,0.098413,nan,nan,nan,91.3373,361.436,608.528,1,0,nan,nan,nan,27.5908,nan,nan,nan,0.430402,nan,nan,nan,0.118751,nan,nan,nan,125.247
1,4,11,,285.5,nan,nan,nan,33.014,nan,nan,nan,0.298747,74.3259,nan,nan,nan,0.0986283,nan,nan,nan,94.4039,361.335,607.667,1,0,nan,nan,nan,28.2441,nan,nan,nan,0.425168,nan,nan,nan,0.120085,nan,nan,nan,134.353
1,5,11,,295,nan,nan,nan,28.896,nan,nan,nan,0.305558,73.2548,nan,nan,nan,0.0882939,nan,nan,nan,99.6118,359.186,605.547,1,0,nan,nan,nan,28.8443,nan,nan,nan,0.414676,nan,nan,nan,0.11961,nan,nan,nan,135.184
1,6,11,,278.5,nan,nan,nan,33.88,nan,nan,nan,0.291947,71.8406,nan,nan,nan,0.0989119,nan,nan,nan,90.2118,359.218,603.42,1,0,nan,nan,nan,26.7876,nan,nan,nan,0.422311,nan,nan,nan,0.113127,nan,nan,nan,130.494
1,7,11,,226.5,nan,nan,nan,32.1653,nan,nan,nan,0.295296,61.3553,nan,nan,nan,0.0949827,nan,nan,nan,74.7098,359.625,602.754,1,0,nan,nan,nan,25.663,nan,nan,nan,0.448764,nan,nan,nan,0.115166,nan,nan,nan,113.537
1,8,11,,269.5,nan,nan,nan,32.3467,nan,nan,nan,0.290685,66.669,nan,nan,nan,0.0940269,nan,nan,nan,86.3333,359.049,603.186,1,0,nan,nan,nan,26.6306,nan,nan,nan,0.416082,nan,nan,nan,0.110805,nan,nan,nan,123.576
1,9,11,,163.5,nan,nan,nan,30.6436,nan,nan,nan,0.266561,55.0122,nan,nan,nan,0.081684,nan,nan,nan,49.5804,359.155,601.662,1,0,nan,nan,nan,31.5531,nan,nan,nan,0.415328,nan,nan,nan,0.131049,nan,nan,nan,77.251
1,10,11,,211,nan,nan,nan,31.8615,nan,nan,nan,0.297179,59.9411,nan,nan,nan,0.0946856,nan,nan,nan,70.4314,369.033,597.195,1,0,nan,nan,nan,32.2149,nan,nan,nan,0.383371,nan,nan,nan,0.123503,nan,nan,nan,90.8588
1,11,11,,323,nan,nan,nan,34.6377,nan,nan,nan,0.283855,75.2548,nan,nan,nan,0.0983209,nan,nan,nan,100.769,363.667,595.6,1,0,nan,nan,nan,26.9153,nan,nan,nan,0.415554,nan,nan,nan,0.111847,nan,nan,nan,147.522
1,12,11,,329,nan,nan,nan,25.5542,nan,nan,nan,0.477139,76.9117,nan,nan,nan,0.121929,nan,nan,nan,172.247,363.706,593.735,1,0,nan,nan,nan,27.9488,nan,nan,nan,0.398468,nan,nan,nan,0.111367,nan,nan,nan,143.847
1,13,11,,276,nan,nan,nan,22.4013,nan,nan,nan,0.530847,69.598,nan,nan,nan,0.118917,nan,nan,nan,162.439,361.994,594.234,1,0,nan,nan,nan,29.6683,nan,nan,nan,0.352941,nan,nan,nan,0.104712,nan,nan,nan,108
1,14,11,,233,nan,nan,nan,21.5166,nan,nan,nan,0.542198,63.1127,nan,nan,nan,0.116662,nan,nan,nan,141.514,363.511,594.295,1,0,nan,nan,nan,31.9123,nan,nan,nan,0.376561,nan,nan,nan,0.120169,nan,nan,nan,98.2824
1,15,11,,307,nan,nan,nan,22.7691,nan,nan,nan,0.536396,72.4264,nan,nan,nan,0.122133,nan,nan,nan,181.302,365.266,592.539,1,0,nan,nan,nan,30.3814,nan,nan,nan,0.399176,nan,nan,nan,0.121275,nan,nan,nan,134.922
1,16,11,,317,nan,nan,nan,22.9256,nan,nan,nan,0.551578,73.2548,nan,nan,nan,0.126452,nan,nan,nan,191.949,364.596,592.169,1,0,nan,nan,nan,28.7775,nan,nan,nan,0.402389,nan,nan,nan,0.115797,nan,nan,nan,140.031
1,17,11,,212,nan,nan,nan,22.4101,nan,nan,nan,0.543675,59.598,nan,nan,nan,0.121838,nan,nan,nan,128.851,364.726,594.109,1,0,nan,nan,nan,29.6871,nan,nan,nan,0.411301,nan,nan,nan,0.122103,nan,nan,nan,97.4784
1,18,11,,262,nan,nan,nan,24.9136,nan,nan,nan,0.498497,70.0833,nan,nan,nan,0.124194,nan,nan,nan,145.063,367.047,593.989,1,0,nan,nan,nan,28.7083,nan,nan,nan,0.393289,nan,nan,nan,0.112907,nan,nan,nan,114.447
1,19,11,,321,nan,nan,nan,23.2383,nan,nan,nan,0.456253,77.2548,nan,nan,nan,0.106025,nan,nan,nan,161.514,368.157,593.316,1,0,nan,nan,nan,30.6668,nan,nan,nan,0.387416,nan,nan,nan,0.118808,nan,nan,nan,137.145
1,20,11,,313,nan,nan,nan,26.0774,nan,nan,nan,0.422196,73.2548,nan,nan,nan,0.110098,nan,nan,nan,145.235,365.351,595.645,1,0,nan,nan,nan,28.684,nan,nan,nan,0.40163,nan,nan,nan,0.115204,nan,nan,nan,138.161
1,21,11,,323,nan,nan,nan,26.9306,nan,nan,nan,0.344822,73.598,nan,nan,nan,0.0928627,nan,nan,nan,122.412,366.579,594.405,1,0,nan,nan,nan,30.0217,nan,nan,nan,0.348103,nan,nan,nan,0.104506,nan,nan,nan,123.576
1,22,11,,351,nan,nan,nan,27.7086,nan,nan,nan,0.385573,76.9117,nan,nan,nan,0.106837,nan,nan,nan,147.675,367.25,595.076,1,0,nan,nan,nan,31.7911,nan,nan,nan,0.340859,nan,nan,nan,0.108363,nan,nan,nan,130.549
1,23,11,,336,nan,nan,nan,25.9555,nan,nan,nan,0.440284,73.2548,nan,nan,nan,0.114278,nan,nan,nan,161.584,371.115,596.27,1,0,nan,nan,nan,28.2876,nan,nan,nan,0.385019,nan,nan,nan,0.108913,nan,nan,nan,141.302
1,24,11,,335,nan,nan,nan,26.8451,nan,nan,nan,0.428146,76.0833,nan,nan,nan,0.114936,nan,nan,nan,157.129,370.477,596.229,1,0,nan,nan,nan,30.0889,nan,nan,nan,0.389005,nan,nan,nan,0.117047,nan,nan,nan,142.765
1,25,11,,299.5,nan,nan,nan,26.4602,nan,nan,nan,0.421658,72.3259,nan,nan,nan,0.111572,nan,nan,nan,138.725,371.499,595.708,1,0,nan,nan,nan,30.6947,nan,nan,nan,0.366375,nan,nan,nan,0.112458,nan,nan,nan,120.537
1,26,11,,266.5,nan,nan,nan,23.2046,nan,nan,nan,0.434977,70.1838,nan,nan,nan,0.100935,nan,nan,nan,129.188,371.665,595.43,1,0,nan,nan,nan,31.4672,nan,nan,nan,0.373447,nan,nan,nan,0.117513,nan,nan,nan,110.914
1,27,11,,347,nan,nan,nan,26.9012,nan,nan,nan,0.409466,72.0833,nan,nan,nan,0.110151,nan,nan,nan,154.369,372.392,595.082,1,0,nan,nan,nan,28.5051,nan,nan,nan,0.389442,nan,nan,nan,0.111011,nan,nan,nan,146.82
1,28,11,,337.5,nan,nan,nan,27.0488,nan,nan,nan,0.372974,78.8112,nan,nan,nan,0.100885,nan,nan,nan,137.627,371.481,593.846,1,0,nan,nan,nan,29.2405,nan,nan,nan,0.396504,nan,nan,nan,0.11594,nan,nan,nan,146.31
1,29,11,,294,nan,nan,nan,25.3824,nan,nan,nan,0.372113,70.4264,nan,nan,nan,0.0944514,nan,nan,nan,120.565,371.955,591.699,1,0,nan,nan,nan,30.26,nan,nan,nan,0.368397,nan,nan,nan,0.111477,nan,nan,nan,119.361
1,30,11,,308.5,nan,nan,nan,29.3361,nan,nan,nan,0.31656,71.0122,nan,nan,nan,0.0928662,nan,nan,nan,107.314,373.146,587.837,1,0,nan,nan,nan,29.7614,nan,nan,nan,0.347817,nan,nan,nan,0.103515,nan,nan,nan,117.91
1,31,11,,377,nan,nan,nan,30.0511,nan,nan,nan,0.310424,81.7401,nan,nan,nan,0.093286,nan,nan,nan,127.584,374.348,586.923,1,0,nan,nan,nan,28.4795,nan,nan,nan,0.36983,nan,nan,nan,0.105326,nan,nan,nan,152
1,32,11,,349.5,nan,nan,nan,31.2829,nan,nan,nan,0.315609,81.1543,nan,nan,nan,0.0987319,nan,nan,nan,120.878,373.227,585.948,1,0,nan,nan,nan,27.4856,nan,nan,nan,0.400031,nan,nan,nan,0.109951,nan,nan,nan,153.212
1,33,11,,335,nan,nan,nan,30.7193,nan,nan,nan,0.300916,77.2548,nan,nan,nan,0.0924394,nan,nan,nan,110.737,373.804,586.014,1,0,nan,nan,nan,26.8649,nan,nan,nan,0.391624,nan,nan,nan,0.105209,nan,nan,nan,144.118
1,34,11,,333.5,nan,nan,nan,29.6349,nan,nan,nan,0.314486,78.3259,nan,nan,nan,0.0931978,nan,nan,nan,115.102,372.705,585.949,1,0,nan,nan,nan,28.0801,nan,nan,nan,0.404393,nan,nan,nan,0.113554,nan,nan,nan,148.008
1,35,11,,245.5,nan,nan,nan,28.5523,nan,nan,nan,0.323687,65.3553,nan,nan,nan,0.0924201,nan,nan,nan,88.6902,374.866,587.224,1,0,nan,nan,nan,30.3138,nan,nan,nan,0.417575,nan,nan,nan,0.126583,nan,nan,nan,114.416
1,36,11,,245.5,nan,nan,nan,26.546,nan,nan,nan,0.364564,70.1838,nan,nan,nan,0.0967772,nan,nan,nan,100.62,373.004,585.02,1,0,nan,nan,nan,29.3397,nan,nan,nan,0.408525,nan,nan,nan,0.11986,nan,nan,nan,112.753
1,37,11,,311,nan,nan,nan,27.1858,nan,nan,nan,0.39153,78.0833,nan,nan,nan,0.10644,nan,nan,nan,134.686,373.339,584.266,1,0,nan,nan,nan,25.5277,nan,nan,nan,0.421762,nan,nan,nan,0.107666,nan,nan,nan,145.086
1,38,11,,353,nan,nan,nan,25.6412,nan,nan,nan,0.404245,81.2548,nan,nan,nan,0.103653,nan,nan,nan,156.847,373.232,584.802,1,0,nan,nan,nan,28.7813,nan,nan,nan,0.39808,nan,nan,nan,0.114573,nan,nan,nan,154.455
1,39,11,,299,nan,nan,nan,24.5034,nan,nan,nan,0.448532,74.0833,nan,nan,nan,0.109906,nan,nan,nan,148.016,373.812,585.473,1,0,nan,nan,nan,27.3715,nan,nan,nan,0.416328,nan,nan,nan,0.113955,nan,nan,nan,137.388
1,40,11,,333.5,nan,nan,nan,25.2768,nan,nan,nan,0.434748,79.1543,nan,nan,nan,0.10989,nan,nan,nan,159.118,374.573,584.476,1,0,nan,nan,nan,26.8563,nan,nan,nan,0.394075,nan,nan,nan,0.105834,nan,nan,nan,144.231
1,41,11,,283,nan,nan,nan,27.4479,nan,nan,nan,0.38013,73.2548,nan,nan,nan,0.104338,nan,nan,nan,119.361,374.375,582.137,1,0,nan,nan,nan,30.7857,nan,nan,nan,0.337754,nan,nan,nan,0.10398,nan,nan,nan,106.055
1,42,11,,248,nan,nan,nan,26.487,nan,nan,nan,0.370779,68.4264,nan,nan,nan,0.0982083,nan,nan,nan,102.706,374.253,580.528,1,0,nan,nan,nan,32.3868,nan,nan,nan,0.342026,nan,nan,nan,0.110771,nan,nan,nan,94.7412
1,43,11,,342.5,nan,nan,nan,28.1684,nan,nan,nan,0.363814,83.4975,nan,nan,nan,0.102481,nan,nan,nan,137.522,377.175,579.21,1,0,nan,nan,nan,27.3201,nan,nan,nan,0.400664,nan,nan,nan,0.109462,nan,nan,nan,151.451
1,44,11,,353.5,nan,nan,nan,27.7706,nan,nan,nan,0.38553,87.9828,nan,nan,nan,0.107064,nan,nan,nan,150.357,376.95,577.772,1,0,nan,nan,nan,27.9573,nan,nan,nan,0.407381,nan,nan,nan,0.113893,nan,nan,nan,158.878
1,45,11,,302.5,nan,nan,nan,29.7532,nan,nan,nan,0.34937,79.4975,nan,nan,nan,0.103949,nan,nan,nan,117.388,375.799,574.7,1,0,nan,nan,nan,28.3355,nan,nan,nan,0.347712,nan,nan,nan,0.098526,nan,nan,nan,116.831
1,46,11,,274.5,nan,nan,nan,28.1815,nan,nan,nan,0.35381,77.4975,nan,nan,nan,0.0997091,nan,nan,nan,108.62,374.742,574.778,1,0,nan,nan,nan,31.7607,nan,nan,nan,0.355751,nan,nan,nan,0.112989,nan,nan,nan,109.216
1,47,11,,360.5,nan,nan,nan,29.6457,nan,nan,nan,0.355138,88.3259,nan,nan,nan,0.105283,nan,nan,nan,141.345,376.253,575.167,1,0,nan,nan,nan,29.9767,nan,nan,nan,0.386747,nan,nan,nan,0.115934,nan,nan,nan,153.925
1,48,11,,376.5,nan,nan,nan,27.1846,nan,nan,nan,0.389717,87.1543,nan,nan,nan,0.105943,nan,nan,nan,160.953,375.035,574.7,1,0,nan,nan,nan,28.2518,nan,nan,nan,0.374135,nan,nan,nan,0.1057,nan,nan,nan,154.518
1,49,11,,351,nan,nan,nan,24.0549,nan,nan,nan,0.397013,84.5685,nan,nan,nan,0.095501,nan,nan,nan,153.247,376.405,575.687,1,0,nan,nan,nan,29.5819,nan,nan,nan,0.383714,nan,nan,nan,0.11351,nan,nan,nan,148.114
1,50,11,,391.5,nan,nan,nan,28.5777,nan,nan,nan,0.382445,88.8112,nan,nan,nan,0.109294,nan,nan,nan,163.686,374.98,576.541,1,0,nan,nan,nan,30.2964,nan,nan,nan,0.375252,nan,nan,nan,0.113688,nan,nan,nan,160.608
1,51,11,,341.5,nan,nan,nan,28.2455,nan,nan,nan,0.363534,83.8406,nan,nan,nan,0.102682,nan,nan,nan,137.416,374.368,577.122,1,0,nan,nan,nan,30.812,nan,nan,nan,0.338074,nan,nan,nan,0.104168,nan,nan,nan,127.792
1,52,11,,323.5,nan,nan,nan,28.6716,nan,nan,nan,0.340051,83.4975,nan,nan,nan,0.0974982,nan,nan,nan,122.078,373.402,579.468,1,0,nan,nan,nan,33.8814,nan,nan,nan,0.3327,nan,nan,nan,0.112723,nan,nan,nan,119.439
1,53,11,,394.5,nan,nan,nan,29.1046,nan,nan,nan,0.324044,97.2965,nan,nan,nan,0.0943119,nan,nan,nan,140.635,372.348,579.229,1,0,nan,nan,nan,30,nan,nan,nan,0.371429,nan,nan,nan,0.111428,nan,nan,nan,161.2
1,54,11,,410.5,nan,nan,nan,30.6181,nan,nan,nan,0.311406,89.9828,nan,nan,nan,0.0953465,nan,nan,nan,139.51,370.674,579.992,1,0,nan,nan,nan,28.8864,nan,nan,nan,0.374685,nan,nan,nan,0.108233,nan,nan,nan,167.859
1,55,11,,300.5,nan,nan,nan,31.6086,nan,nan,nan,0.307872,80.669,nan,nan,nan,0.0973142,nan,nan,nan,103.137,369.941,579.361,1,0,nan,nan,nan,30.5363,nan,nan,nan,0.377852,nan,nan,nan,0.115382,nan,nan,nan,126.58
1,56,11,,332,nan,nan,nan,32.3169,nan,nan,nan,0.300781,84.4264,nan,nan,nan,0.097203,nan,nan,nan,110.988,371.016,581.979,1,0,nan,nan,nan,28.7349,nan,nan,nan,0.375312,nan,nan,nan,0.107846,nan,nan,nan,138.49
1,57,11,,460,nan,nan,nan,31.7058,nan,nan,nan,0.278439,95.7401,nan,nan,nan,0.0882815,nan,nan,nan,139.498,367.556,579.838,1,0,nan,nan,nan,29.3769,nan,nan,nan,0.357418,nan,nan,nan,0.104998,nan,nan,nan,179.067
1,58,11,,451.5,nan,nan,nan,34.7014,nan,nan,nan,0.265764,93.1543,nan,nan,nan,0.0922238,nan,nan,nan,130.49,367.188,581.004,1,0,nan,nan,nan,30.7218,nan,nan,nan,0.345705,nan,nan,nan,0.106207,nan,nan,nan,169.741
1,59,11,,355.5,nan,nan,nan,32.6936,nan,nan,nan,0.287645,85.4975,nan,nan,nan,0.0940416,nan,nan,nan,112.757,367.158,581.182,1,0,nan,nan,nan,30.2744,nan,nan,nan,0.361765,nan,nan,nan,0.109522,nan,nan,nan,141.812
1,60,11,,370,nan,nan,nan,33.7322,nan,nan,nan,0.282603,87.7401,nan,nan,nan,0.0953284,nan,nan,nan,115.02,366.884,581.925,1,0,nan,nan,nan,30.2065,nan,nan,nan,0.346177,nan,nan,nan,0.104568,nan,nan,nan,140.894
1,61,11,,465.5,nan,nan,nan,32.1884,nan,nan,nan,0.28398,96.8112,nan,nan,nan,0.0914089,nan,nan,nan,143.694,366.503,583.244,1,0,nan,nan,nan,31.8389,nan,nan,nan,0.321266,nan,nan,nan,0.102288,nan,nan,nan,162.561
1,62,11,,497,nan,nan,nan,33.291,nan,nan,nan,0.298097,100.912,nan,nan,nan,0.0992396,nan,nan,nan,161.271,366.482,583.325,1,0,nan,nan,nan,31.6076,nan,nan,nan,0.329274,nan,nan,nan,0.104076,nan,nan,nan,178.137
1,63,11,,409,nan,nan,nan,27.9361,nan,nan,nan,0.357117,92.5685,nan,nan,nan,0.0997644,nan,nan,nan,159.988,364.749,585.079,1,0,nan,nan,nan,30.5573,nan,nan,nan,0.343216,nan,nan,nan,0.104877,nan,nan,nan,153.761
1,64,11,,416.5,nan,nan,nan,27.7931,nan,nan,nan,0.360974,89.1543,nan,nan,nan,0.100326,nan,nan,nan,163.882,364.917,584.838,1,0,nan,nan,nan,30.9186,nan,nan,nan,0.341885,nan,nan,nan,0.105706,nan,nan,nan,155.216
1,65,11,,336.5,nan,nan,nan,27.0412,nan,nan,nan,0.322798,80.3259,nan,nan,nan,0.0872884,nan,nan,nan,119.435,363.579,585.718,1,0,nan,nan,nan,32.3298,nan,nan,nan,0.271659,nan,nan,nan,0.0878266,nan,nan,nan,100.514
1,66,11,,327.5,nan,nan,nan,29.9855,nan,nan,nan,0.338735,81.0122,nan,nan,nan,0.101571,nan,nan,nan,122.961,365.275,586.323,1,0,nan,nan,nan,35.1235,nan,nan,nan,0.272738,nan,nan,nan,0.0957952,nan,nan,nan,99.0039
1,67,11,,468,nan,nan,nan,27.7924,nan,nan,nan,0.362435,93.0538,nan,nan,nan,0.100729,nan,nan,nan,183.392,364.406,585.777,1,0,nan,nan,nan,32.151,nan,nan,nan,0.34261,nan,nan,nan,0.110153,nan,nan,nan,173.361
1,68,11,,438,nan,nan,nan,27.738,nan,nan,nan,0.346427,93.7401,nan,nan,nan,0.0960921,nan,nan,nan,165.592,364.218,585.874,1,0,nan,nan,nan,29.6604,nan,nan,nan,0.358003,nan,nan,nan,0.106185,nan,nan,nan,171.125
1,69,11,,322,nan,nan,nan,31.7786,nan,nan,nan,0.284953,80.9117,nan,nan,nan,0.090554,nan,nan,nan,101.443,364.128,587.364,1,0,nan,nan,nan,33.3897,nan,nan,nan,0.304726,nan,nan,nan,0.101747,nan,nan,nan,108.482
1,70,11,,366.5,nan,nan,nan,33.0556,nan,nan,nan,0.252576,83.8406,nan,nan,nan,0.0834906,nan,nan,nan,101.788,362.825,587.134,1,0,nan,nan,nan,32.4607,nan,nan,nan,0.290644,nan,nan,nan,0.094345,nan,nan,nan,117.129
1,71,11,,474,nan,nan,nan,33.8451,nan,nan,nan,0.251447,95.0538,nan,nan,nan,0.0851025,nan,nan,nan,128.992,362.802,588.872,1,0,nan,nan,nan,30.0019,nan,nan,nan,0.348752,nan,nan,nan,0.104632,nan,nan,nan,178.91
1,72,11,,487,nan,nan,nan,33.3128,nan,nan,nan,0.243965,97.5391,nan,nan,nan,0.0812715,nan,nan,nan,128.325,362.508,589.533,1,0,nan,nan,nan,29.7746,nan,nan,nan,0.344599,nan,nan,nan,0.102603,nan,nan,nan,181.259
1,73,11,,424.5,nan,nan,nan,31.9095,nan,nan,nan,0.243984,92.8112,nan,nan,nan,0.0778542,nan,nan,nan,112.965,360.373,589.701,1,0,nan,nan,nan,30.3328,nan,nan,nan,0.321806,nan,nan,nan,0.0976126,nan,nan,nan,148.996
1,74,11,,403,nan,nan,nan,35.6756,nan,nan,nan,0.232984,84.5685,nan,nan,nan,0.0831185,nan,nan,nan,102.047,360.481,591.513,1,0,nan,nan,nan,31.5859,nan,nan,nan,0.310037,nan,nan,nan,0.0979279,nan,nan,nan,135.796
1,75,11,,483,nan,nan,nan,34.3208,nan,nan,nan,0.24061,97.8822,nan,nan,nan,0.0825795,nan,nan,nan,125.839,359.597,591.492,1,0,nan,nan,nan,30.9679,nan,nan,nan,0.342916,nan,nan,nan,0.106194,nan,nan,nan,179.345
1,76,11,,507.5,nan,nan,nan,31.8742,nan,nan,nan,0.263309,99.6396,nan,nan,nan,0.0839278,nan,nan,nan,144.557,359.956,591.823,1,0,nan,nan,nan,31.2041,nan,nan,nan,0.335869,nan,nan,nan,0.104805,nan,nan,nan,184.392
1,77,11,,409,nan,nan,nan,31.9408,nan,nan,nan,0.299943,91.397,nan,nan,nan,0.0958041,nan,nan,nan,134.075,359.248,591.369,1,0,nan,nan,nan,32.7818,nan,nan,nan,0.291477,nan,nan,nan,0.0955514,nan,nan,nan,130.29
1,78,11,,398,nan,nan,nan,30.4272,nan,nan,nan,0.310434,88.0833,nan,nan,nan,0.0944563,nan,nan,nan,135.349,359.278,591.5,1,0,nan,nan,nan,33.2295,nan,nan,nan,0.283414,nan,nan,nan,0.0941772,nan,nan,nan,123.569
1,79,11,,481,nan,nan,nan,28.5231,nan,nan,nan,0.346902,102.225,nan,nan,nan,0.0989472,nan,nan,nan,181.776,358.44,591.822,1,0,nan,nan,nan,30.7297,nan,nan,nan,0.342741,nan,nan,nan,0.105323,nan,nan,nan,179.596
1,80,11,,460,nan,nan,nan,30.0968,nan,nan,nan,0.350186,99.8822,nan,nan,nan,0.105395,nan,nan,nan,175.443,360.039,591.876,1,0,nan,nan,nan,30.6386,nan,nan,nan,0.343572,nan,nan,nan,0.105266,nan,nan,nan,172.129
