Identification,TrackNumber,MeanNoBgCorrectedCh00,MeanNoBgCorrectedCh01,SumNoBgCorrectedCh00,SumNoBgCorrectedCh01,AreaMorphologyCh01,TimePoint,Time,Position,Cell,Cytokine,CellType,Experiment,relSignal,MeanNoBgCorrectedCh00_norm,base_sd,trace_1_3_sd,trace_2_3_sd,trace_3_3_sd,trace_sd,expression_t0,AUC,resp_score,sustra_score,npeaks,ACFx,ACFy,ACFy_nobs,ACF_AUC,ACF_diff_AUC,nACpeaks,ACpeak_height_1,ACpeak_steepness_1,acf_freq_peak_1,ACpeak_height_2,ACpeak_steepness_2,acf_freq_peak_2,ACpeak_height_3,ACpeak_steepness_3,acf_freq_peak_3,osc_score,ResponseType,Set,Setup,Theta
220524DS30_p0009-003DS,1,1.01708350050312,0.292069,113.141,104.561,324.5,1,0.0,9,3,TNF 40ng/uL,GMP,220524DS30,1.253242604712,0.258984406965644,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,1.0,1.0,1.0,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,1.04507898638255,0.290207,116.58,104.184,324.0,2,0.11781045751634,9,3,TNF 40ng/uL,GMP,220524DS30,1.29600070216136,0.274107122959046,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,1.3921568627451,0.975956822853856,0.977349799439577,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,1.02781311884109,0.413247,124.235,160.753,355.5,3,0.23562091503268,9,3,TNF 40ng/uL,GMP,220524DS30,0.89509360096682,0.264780376056575,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,1.7843137254902,0.951913645707712,0.954699598879154,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,0.978393796946103,0.415864,114.31,156.365,342.5,4,0.3534313725490201,9,3,TNF 40ng/uL,GMP,220524DS30,0.846693779770042,0.238084844754738,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,2.17647058823529,0.912005431216126,0.916923167144765,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,1.00245337303929,0.416021,109.333,146.024,318.5,5,0.47124183006536,9,3,TNF 40ng/uL,GMP,220524DS30,0.86718734810721,0.251081444911845,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,2.56862745098039,0.8527066155245541,0.8606591195310842,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,1.01065023503893,0.406706,118.078,152.922,343.0,6,0.5890522875816989,9,3,TNF 40ng/uL,GMP,220524DS30,0.894302216319635,0.25550925933134,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,2.96078431372549,0.7934077998329809,0.8043950719174029,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,0.978162083532686,0.400463,82.3686,108.525,243.5,7,0.706862745098039,9,3,TNF 40ng/uL,GMP,220524DS30,0.8790476818049809,0.237959676855953,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,3.3529411764705896,0.715675917881982,0.7315625609040491,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,0.994192146202582,0.350377,96.3843,109.318,281.0,8,0.824673202614379,9,3,TNF 40ng/uL,GMP,220524DS30,1.02117163612365,0.246618861631575,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,3.74509803921569,0.635895917457713,0.656889109512954,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,0.946172759513659,0.325147,80.5569,89.0902,246.5,9,0.942483660130719,9,3,TNF 40ng/uL,GMP,220524DS30,1.04726043003429,0.22067955305156,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,4.13725490196078,0.553726950712103,0.58083088920428,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
220524DS30_p0009-003DS,1,0.829476091681274,0.370917,47.6824,68.6196,162.0,10,1.06029411764706,9,3,TNF 40ng/uL,GMP,220524DS30,0.804805877445256,0.157641870026299,0.0160832982703627,0.111975207850381,0.0605257287918489,0.0656196675434322,0.0871576984621646,0.249756171835364,3.53473290405272,1.7259015301538403,0.527900626788307,5,4.52941176470588,0.467121332226858,0.5022009551915311,0.0343677577767767,-0.0308628575375221,2,0.3535349944847129,0.0505049992121018,15,0.270831453107334,0.0386902075867621,36,0.0,0.0,0,1.76767497242356,oscillatory,gt,30,0.6
