features,importance
focus,0.014007021248722343
cell_mask_Size.Area,0.017418420422998775
Nucleus.Gradient.Mag.Skewness,0.01761042230955145
cell_mask_Nucleus.Gradient.Mag.Skewness,0.018511347095314455
cell_mask_Nucleus.Intensity.Skewness,0.018903799195356594
cell_mask_cut_offness,0.022993098466425433
cell_mask_Nucleus.Gradient.Mag.Std,0.027745829908507408
cell_mask_Shape.Solidity,0.029661501954116883
cell_mask_Shape.Eccentricity,0.0307234661161616
distance_closest_nuc,0.034484374125720224
cell_mask_Shape.Extent,0.035178784668485015
Nucleus.Intensity.Skewness,0.043747149086729054
cell_mask_Nucleus.Intensity.Std,0.047075118047498865
cut_offness,0.04787282839778434
Shape.Eccentricity,0.05391565804384019
is_mutlinucleated,0.06692515168908657
Nucleus.Gradient.Mag.Std,0.08342532528295675
Shape.Extent,0.08507638233810356
Nucleus.Intensity.Std,0.09357598738434383
Shape.Solidity,0.10456081854640861
Size.Area,0.10658751567188811
