threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.7636363636224794,21,11,1,0,2,1,2
0.55,0.7407407407270233,20,11,1,0,2,2,2
0.6,0.7169811320619438,19,11,1,0,2,3,2
0.65000004,0.6399999999872,16,11,1,0,2,6,2
0.70000005,0.5833333333211806,14,11,1,0,2,8,2
0.75000006,0.3809523809433107,8,11,1,0,2,14,2
0.8000001,0.2564102564036818,5,11,1,0,2,17,2
0.8500001,0.1111111111080247,2,11,1,0,2,20,2
0.9000001,0.0571428571412245,1,11,1,0,2,21,2
0.5,0.6999999999912501,28,22,2,0,2,0,2
0.55,0.6999999999912501,28,22,2,0,2,0,2
0.6,0.6835443037888158,27,22,2,0,2,1,2
0.65000004,0.6133333333251555,23,22,2,0,2,5,2
0.70000005,0.4927536231812644,17,22,2,0,2,11,2
0.75000006,0.3225806451560874,10,22,2,0,2,18,2
0.8000001,0.17543859648815022,5,22,2,0,2,23,2
0.8500001,0.07407407407270232,2,22,2,0,2,26,2
0.9000001,0.0,0,22,2,0,2,28,2
0.5,0.7901234567803688,32,17,0,0,1,0,2
0.55,0.7901234567803688,32,17,0,0,1,0,2
0.6,0.7105263157801246,27,17,0,0,1,5,2
0.65000004,0.6575342465663351,24,17,0,0,1,8,2
0.70000005,0.5999999999914285,21,17,0,0,1,11,2
0.75000006,0.3934426229443698,12,17,0,0,1,20,2
0.8000001,0.28070175438104034,8,17,0,0,1,24,2
0.8500001,0.15094339622356712,4,17,0,0,1,28,2
0.9000001,0.07843137254748174,2,17,0,0,1,30,2
0.5,0.8292682926728138,34,9,1,0,4,4,2
0.55,0.8148148148047554,33,9,1,0,4,5,2
0.6,0.7999999999899999,32,9,1,0,4,6,2
0.65000004,0.7692307692209073,30,9,1,0,4,8,2
0.70000005,0.7199999999904001,27,9,1,0,4,11,2
0.75000006,0.5230769230688758,17,9,1,0,4,21,2
0.8000001,0.426229508189734,13,9,1,0,4,25,2
0.8500001,0.1886792452794589,5,9,1,0,4,33,2
0.9000001,0.0799999999984,2,9,1,0,4,36,2
0.5,0.6461538461439053,21,19,2,0,2,2,2
0.55,0.6249999999902344,20,19,2,0,2,3,2
0.6,0.5573770491711906,17,19,2,0,2,6,2
0.65000004,0.4561403508691905,13,19,2,0,2,10,2
0.70000005,0.4561403508691905,13,19,2,0,2,10,2
0.75000006,0.33962264150302596,9,19,2,0,2,14,2
0.8000001,0.12765957446536896,3,19,2,0,2,20,2
0.8500001,0.08695652173724007,2,19,2,0,2,21,2
0.9000001,0.0,0,19,2,0,2,23,2
0.5,0.7906976744094104,34,14,1,0,2,3,2
0.55,0.7619047618956916,32,14,1,0,2,5,2
0.6,0.6999999999912501,28,14,1,0,2,9,2
0.65000004,0.6493506493422162,25,14,1,0,2,12,2
0.70000005,0.5945945945865595,22,14,1,0,2,15,2
0.75000006,0.3225806451560874,10,14,1,0,2,27,2
0.8000001,0.10909090908892564,3,14,1,0,2,34,2
0.8500001,0.07407407407270232,2,14,1,0,2,35,2
0.9000001,0.03773584905589178,1,14,1,0,2,36,2
0.5,0.7169811320619438,19,12,2,0,1,1,2
0.55,0.6923076922943787,18,12,2,0,1,2,2
0.6,0.6399999999872,16,12,2,0,1,4,2
0.65000004,0.5833333333211806,14,12,2,0,1,6,2
0.70000005,0.4888888888780247,11,12,2,0,1,9,2
0.75000006,0.4186046511530557,9,12,2,0,1,11,2
0.8000001,0.341463414625818,7,12,2,0,1,13,2
