threshold,f1,tp,fp,fn,splits,merges,val
0.5,0.6774193548277836,21,14,6,0,2,2
0.55,0.6451612903121748,20,15,7,0,2,2
0.6,0.6129032257965661,19,16,8,0,2,2
0.65000004,0.5161290322497399,16,19,11,0,2,2
0.70000005,0.4516129032185224,14,21,13,0,2,2
0.75000006,0.25806451612487,8,27,19,0,2,2
0.8000001,0.1612903225780437,5,30,22,0,2,2
0.8500001,0.06451612903121749,2,33,25,0,2,2
0.9000001,0.032258064515608746,1,34,26,0,2,2
0.5,0.6511627906901027,28,24,6,0,2,2
0.55,0.6511627906901027,28,24,6,0,2,2
0.6,0.6279069767368848,27,25,7,0,2,2
0.65000004,0.5348837209240129,23,29,11,0,2,2
0.70000005,0.3953488372047052,17,35,17,0,2,2
0.75000006,0.23255813953217955,10,42,24,0,2,2
0.8000001,0.11627906976608975,5,47,29,0,2,2
0.8500001,0.04651162790643591,2,50,32,0,2,2
0.9000001,0.0,0,52,34,0,2,2
0.5,0.7619047618956916,32,18,2,0,1,2
0.55,0.7619047618956916,32,18,2,0,1,2
0.6,0.6428571428494898,27,23,7,0,1,2
0.65000004,0.5714285714217687,24,26,10,0,1,2
0.70000005,0.4999999999940476,21,29,13,0,1,2
0.75000006,0.2857142857108844,12,38,22,0,1,2
0.8000001,0.1904761904739229,8,42,26,0,1,2
0.8500001,0.09523809523696143,4,46,30,0,1,2
0.9000001,0.047619047618480716,2,48,32,0,1,2
0.5,0.6938775510133277,34,17,13,0,4,2
0.55,0.6734693877482298,33,18,14,0,4,2
0.6,0.6530612244831321,32,19,15,0,4,2
0.65000004,0.6122448979529362,30,21,17,0,4,2
0.70000005,0.5510204081576426,27,24,20,0,4,2
0.75000006,0.34693877550666385,17,34,30,0,4,2
0.8000001,0.2653061224462724,13,38,34,0,4,2
0.8500001,0.10204081632548938,5,46,42,0,4,2
0.9000001,0.04081632653019575,2,49,45,0,4,2
0.5,0.5753424657455433,21,23,8,0,2,2
0.55,0.5479452054719459,20,24,9,0,2,2
0.6,0.4657534246511541,17,27,12,0,2,2
0.65000004,0.35616438355676483,13,31,16,0,2,2
0.70000005,0.35616438355676483,13,31,16,0,2,2
0.75000006,0.2465753424623757,9,35,20,0,2,2
0.8000001,0.08219178082079187,3,41,26,0,2,2
0.8500001,0.0547945205471946,2,42,27,0,2,2
0.9000001,0.0,0,44,29,0,2,2
0.5,0.7157894736766759,34,19,8,0,2,2
0.55,0.6736842105192243,32,21,10,0,2,2
0.6,0.5894736842043213,28,25,14,0,2,2
0.65000004,0.5263157894681441,25,28,17,0,2,2
0.70000005,0.4631578947319667,22,31,20,0,2,2
0.75000006,0.2105263157872576,10,43,32,0,2,2
0.8000001,0.06315789473617728,3,50,39,0,2,2
0.8500001,0.04210526315745152,2,51,40,0,2,2
0.9000001,0.02105263157872576,1,52,41,0,2,2
0.5,0.6666666666549708,19,14,5,0,1,2
0.55,0.6315789473573408,18,15,6,0,1,2
0.6,0.5614035087620807,16,17,8,0,1,2
0.65000004,0.4912280701668206,14,19,10,0,1,2
0.70000005,0.3859649122739305,11,22,13,0,1,2
0.75000006,0.3157894736786704,9,24,15,0,1,2
0.8000001,0.2456140350834103,7,26,17,0,1,2
0.8500001,0.17543859648815022,5,28,19,0,1,2
0.9000001,0.035087719297630035,1,32,23,0,1,2
0.5,0.5747126436715551,25,26,11,0,3,2
0.55,0.5517241379246928,24,27,12,0,3,2
0.6,0.5517241379246928,24,27,12,0,3,2
0.65000004,0.45977011493724396,20,31,16,0,3,2
0.70000005,0.3678160919497952,16,35,20,0,3,2
0.75000006,0.2068965517217598,9,42,27,0,3,2
0.8000001,0.0919540229874488,4,47,32,0,3,2
0.8500001,0.0459770114937244,2,49,34,0,3,2
0.9000001,0.0459770114937244,2,49,34,0,3,2
0.5,0.7234042553037574,17,12,1,0,0,2
0.55,0.6808510638153011,16,13,2,0,0,2
0.6,0.6808510638153011,16,13,2,0,0,2
0.65000004,0.6382978723268448,15,14,3,0,0,2
0.70000005,0.5957446808383885,14,15,4,0,0,2
0.75000006,0.4255319148845632,10,19,8,0,0,2
0.8000001,0.2553191489307379,6,23,12,0,0,2
0.8500001,0.17021276595382528,4,25,14,0,0,2
0.9000001,0.04255319148845632,1,28,17,0,0,2
0.5,0.6799999999864,17,12,4,0,1,2
0.55,0.599999999988,15,14,6,0,1,2
0.6,0.5599999999888,14,15,7,0,1,2
0.65000004,0.5199999999896,13,16,8,0,1,2
0.70000005,0.399999999992,10,19,11,0,1,2
0.75000006,0.2799999999944,7,22,14,0,1,2
0.8000001,0.1199999999976,3,26,18,0,1,2
0.8500001,0.0399999999992,1,28,20,0,1,2
0.9000001,0.0,0,29,21,0,1,2
0.5,0.5230769230688758,17,24,7,0,2,2
0.55,0.5230769230688758,17,24,7,0,2,2
0.6,0.4307692307626035,14,27,10,0,2,2
0.65000004,0.4307692307626035,14,27,10,0,2,2
0.70000005,0.3692307692250888,12,29,12,0,2,2
0.75000006,0.2461538461500592,8,33,16,0,2,2
0.8000001,0.12307692307502957,4,37,20,0,2,2
0.8500001,0.0307692307687574,1,40,23,0,2,2
0.9000001,0.0,0,41,24,0,2,2
0.5,0.7547169811249554,40,22,4,0,0,2
0.55,0.7358490565968316,39,23,5,0,0,2
0.6,0.6792452830124599,36,26,8,0,0,2
0.65000004,0.5849056603718404,31,31,13,0,0,2
0.70000005,0.5094339622593449,27,35,17,0,0,2
0.75000006,0.3207547169781061,17,45,27,0,0,2
0.8000001,0.20754716980936275,11,51,33,0,0,2
0.8500001,0.1320754716968672,7,55,37,0,0,2
0.9000001,0.018867924528123886,1,61,43,0,0,2
0.5,0.6774193548277836,21,15,5,0,2,2
0.55,0.6451612903121748,20,16,6,0,2,2
