threshold,f1,tp,fp,fn,merges,splits,val
0.5,0.9450549450497524,86,9,1,0,0,1
0.55,0.9120879120829006,83,12,4,0,0,1
0.6,0.8901098901049994,81,14,6,0,0,1
0.65,0.8461538461491971,77,18,10,0,0,1
0.7,0.7692307692265428,70,25,17,0,0,1
0.75,0.648351648348086,59,36,28,0,0,1
0.8,0.450549450546975,41,54,46,0,0,1
0.85,0.2637362637348146,24,71,63,0,0,1
0.9,0.054945054944753,5,90,82,0,0,1
0.5,0.9417989417939588,89,7,4,0,1,1
0.55,0.9417989417939588,89,7,4,0,1,1
0.6,0.9312169312120042,88,8,5,0,1,1
0.65,0.910052910048095,86,10,7,0,1,1
0.7,0.8148148148105037,77,19,16,0,1,1
0.75,0.6984126984090031,66,30,27,0,1,1
0.8,0.5714285714255479,54,42,39,0,1,1
0.85,0.3703703703684107,35,61,58,0,1,1
0.9,0.0740740740736821,7,89,86,0,1,1
0.5,0.8989898989853586,89,19,1,0,0,1
0.55,0.8888888888843997,88,20,2,0,0,1
0.6,0.8787878787834406,87,21,3,0,0,1
0.65,0.8080808080767269,80,28,10,0,0,1
0.7,0.7575757575719315,75,33,15,0,0,1
0.75,0.5757575757546679,57,51,33,0,0,1
0.8,0.4545454545431588,45,63,45,0,0,1
0.85,0.2121212121201408,21,87,69,0,0,1
0.9,0.0707070707067136,7,101,83,0,0,1
0.5,0.953974895393498,114,6,5,1,0,1
0.55,0.953974895393498,114,6,5,1,0,1
0.6,0.9121338912095728,109,11,10,1,0,1
0.65,0.8786610878624325,105,15,14,1,0,1
0.7,0.7866108786577967,94,26,25,1,0,1
0.75,0.6108786610853102,73,47,46,1,0,1
0.8,0.4184100418392535,50,70,69,1,0,1
0.85,0.2594142259403372,31,89,88,1,0,1
0.9,0.0836820083678507,10,110,109,1,0,1
0.5,0.913978494618742,85,12,4,0,0,1
0.55,0.8817204301027864,82,15,7,0,0,1
0.6,0.8709677419308013,81,16,8,0,0,1
0.65,0.8279569892428605,77,20,12,0,0,1
0.7,0.7419354838669788,69,28,20,0,0,1
0.75,0.5698924731152156,53,44,36,0,0,1
0.8,0.3978494623634524,37,60,52,0,0,1
0.85,0.2473118279556596,23,74,66,0,0,1
0.9,0.053763440859926,5,92,84,0,0,1
