threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.0465116279068415,8,20,274,0,0,34,untrained
0.55,0.0235294117646366,4,20,274,0,0,38,untrained
0.6,0.0176991150441955,3,20,274,0,0,39,untrained
0.65,0.0118343195265922,2,20,274,0,0,40,untrained
0.7,0.0059347181008725,1,20,274,0,0,41,untrained
0.75,0.0,0,20,274,0,0,42,untrained
0.8,0.0,0,20,274,0,0,42,untrained
0.85,0.0,0,20,274,0,0,42,untrained
0.9,0.0,0,20,274,0,0,42,untrained
0.5,0.0305810397552581,5,17,279,0,0,21,untrained
0.55,0.0245398773005382,4,17,279,0,0,22,untrained
0.6,0.0123456790123075,2,17,279,0,0,24,untrained
0.65,0.0061919504643771,1,17,279,0,0,25,untrained
0.7,0.0,0,17,279,0,0,26,untrained
0.75,0.0,0,17,279,0,0,26,untrained
0.8,0.0,0,17,279,0,0,26,untrained
0.85,0.0,0,17,279,0,0,26,untrained
0.9,0.0,0,17,279,0,0,26,untrained
0.5,0.0353356890458115,5,19,234,0,0,20,untrained
0.55,0.0213523131671838,3,19,234,0,0,22,untrained
0.6,0.0213523131671838,3,19,234,0,0,22,untrained
0.65,0.0142857142856632,2,19,234,0,0,23,untrained
0.7,0.0142857142856632,2,19,234,0,0,23,untrained
0.75,0.0071684587813363,1,19,234,0,0,24,untrained
0.8,0.0,0,19,234,0,0,25,untrained
0.85,0.0,0,19,234,0,0,25,untrained
0.9,0.0,0,19,234,0,0,25,untrained
0.5,0.0410256410254306,4,12,163,0,0,12,untrained
0.55,0.0207253886009288,2,12,163,0,0,14,untrained
0.6,0.0104166666666124,1,12,163,0,0,15,untrained
0.65,0.0,0,12,163,0,0,16,untrained
0.7,0.0,0,12,163,0,0,16,untrained
0.75,0.0,0,12,163,0,0,16,untrained
0.8,0.0,0,12,163,0,0,16,untrained
0.85,0.0,0,12,163,0,0,16,untrained
0.9,0.0,0,12,163,0,0,16,untrained
0.5,0.0324324324322571,3,7,156,0,0,16,untrained
0.55,0.0,0,7,156,0,0,19,untrained
0.6,0.0,0,7,156,0,0,19,untrained
0.65,0.0,0,7,156,0,0,19,untrained
0.7,0.0,0,7,156,0,0,19,untrained
0.75,0.0,0,7,156,0,0,19,untrained
0.8,0.0,0,7,156,0,0,19,untrained
0.85,0.0,0,7,156,0,0,19,untrained
0.9,0.0,0,7,156,0,0,19,untrained
0.5,0.03999999999984,5,13,202,0,0,25,untrained
0.55,0.0321285140560958,4,13,202,0,0,26,untrained
0.6,0.0081300813007799,1,13,202,0,0,29,untrained
0.65,0.0081300813007799,1,13,202,0,0,29,untrained
0.7,0.0,0,13,202,0,0,30,untrained
0.75,0.0,0,13,202,0,0,30,untrained
0.8,0.0,0,13,202,0,0,30,untrained
0.85,0.0,0,13,202,0,0,30,untrained
0.9,0.0,0,13,202,0,0,30,untrained
0.5,0.0314465408804042,5,13,271,0,0,24,untrained
0.55,0.0126984126983723,2,13,271,0,0,27,untrained
0.6,0.0126984126983723,2,13,271,0,0,27,untrained
0.65,0.006369426751572,1,13,271,0,0,28,untrained
0.7,0.006369426751572,1,13,271,0,0,28,untrained
0.75,0.0,0,13,271,0,0,29,untrained
0.8,0.0,0,13,271,0,0,29,untrained
0.85,0.0,0,13,271,0,0,29,untrained
0.9,0.0,0,13,271,0,0,29,untrained
0.5,0.047745358090059,9,24,300,0,0,35,untrained
0.55,0.0320855614972404,6,24,300,0,0,38,untrained
0.6,0.0108108108107815,2,24,300,0,0,42,untrained
0.65,0.0054200542005273,1,24,300,0,0,43,untrained
0.7,0.0,0,24,300,0,0,44,untrained
0.75,0.0,0,24,300,0,0,44,untrained
0.8,0.0,0,24,300,0,0,44,untrained
0.85,0.0,0,24,300,0,0,44,untrained
0.9,0.0,0,24,300,0,0,44,untrained
0.5,0.0052219321148688,1,18,331,0,1,32,untrained
0.55,0.0052219321148688,1,18,331,0,1,32,untrained
0.6,0.0,0,18,331,0,1,33,untrained
0.65,0.0,0,18,331,0,1,33,untrained
0.7,0.0,0,18,331,0,1,33,untrained
0.75,0.0,0,18,331,0,1,33,untrained
0.8,0.0,0,18,331,0,1,33,untrained
0.85,0.0,0,18,331,0,1,33,untrained
0.9,0.0,0,18,331,0,1,33,untrained
0.5,0.0395256916994485,5,12,200,0,0,31,untrained
0.55,0.0317460317459057,4,12,200,0,0,32,untrained
0.6,0.0239043824700242,3,12,200,0,0,33,untrained
0.65,0.0239043824700242,3,12,200,0,0,33,untrained
0.7,0.0080321285140239,1,12,200,0,0,35,untrained
0.75,0.0080321285140239,1,12,200,0,0,35,untrained
0.8,0.0,0,12,200,0,0,36,untrained
0.85,0.0,0,12,200,0,0,36,untrained
0.9,0.0,0,12,200,0,0,36,untrained
