threshold,f1,tp,fp,fn,splits,merges,val
0.5,0.0423280423279303,8,54,308,0,0,untrained
0.55,0.0211640211639651,4,58,312,0,0,untrained
0.6,0.0158730158729738,3,59,313,0,0,untrained
0.65,0.0105820105819825,2,60,314,0,0,untrained
0.7,0.0052910052909912,1,61,315,0,0,untrained
0.75,0.0,0,62,316,0,0,untrained
0.8,0.0,0,62,316,0,0,untrained
0.85,0.0,0,62,316,0,0,untrained
0.9,0.0,0,62,316,0,0,untrained
0.5,0.0287356321838254,5,38,300,0,0,untrained
0.55,0.0229885057470603,4,39,301,0,0,untrained
0.6,0.0114942528735301,2,41,303,0,0,untrained
0.65,0.005747126436765,1,42,304,0,0,untrained
0.7,0.0,0,43,305,0,0,untrained
0.75,0.0,0,43,305,0,0,untrained
0.8,0.0,0,43,305,0,0,untrained
0.85,0.0,0,43,305,0,0,untrained
0.9,0.0,0,43,305,0,0,untrained
0.5,0.033003300329924,5,39,254,0,0,untrained
0.55,0.0198019801979544,3,41,256,0,0,untrained
0.6,0.0198019801979544,3,41,256,0,0,untrained
0.65,0.0132013201319696,2,42,257,0,0,untrained
0.7,0.0132013201319696,2,42,257,0,0,untrained
0.75,0.0066006600659848,1,43,258,0,0,untrained
0.8,0.0,0,44,259,0,0,untrained
0.85,0.0,0,44,259,0,0,untrained
0.9,0.0,0,44,259,0,0,untrained
0.5,0.0386473429949823,4,24,175,0,0,untrained
0.55,0.0193236714974911,2,26,177,0,0,untrained
0.6,0.0096618357487455,1,27,178,0,0,untrained
0.65,0.0,0,28,179,0,0,untrained
0.7,0.0,0,28,179,0,0,untrained
0.75,0.0,0,28,179,0,0,untrained
0.8,0.0,0,28,179,0,0,untrained
0.85,0.0,0,28,179,0,0,untrained
0.9,0.0,0,28,179,0,0,untrained
0.5,0.0298507462685082,3,23,172,0,0,untrained
0.55,0.0,0,26,175,0,0,untrained
0.6,0.0,0,26,175,0,0,untrained
0.65,0.0,0,26,175,0,0,untrained
0.7,0.0,0,26,175,0,0,untrained
0.75,0.0,0,26,175,0,0,untrained
0.8,0.0,0,26,175,0,0,untrained
0.85,0.0,0,26,175,0,0,untrained
0.9,0.0,0,26,175,0,0,untrained
0.5,0.0363636363635041,5,38,227,0,0,untrained
0.55,0.0290909090908033,4,39,228,0,0,untrained
0.6,0.0072727272727008,1,42,231,0,0,untrained
0.65,0.0072727272727008,1,42,231,0,0,untrained
0.7,0.0,0,43,232,0,0,untrained
0.75,0.0,0,43,232,0,0,untrained
0.8,0.0,0,43,232,0,0,untrained
0.85,0.0,0,43,232,0,0,untrained
0.9,0.0,0,43,232,0,0,untrained
0.5,0.0292397660817858,5,37,295,0,0,untrained
0.55,0.0116959064327143,2,40,298,0,0,untrained
0.6,0.0116959064327143,2,40,298,0,0,untrained
0.65,0.0058479532163571,1,41,299,0,0,untrained
0.7,0.0058479532163571,1,41,299,0,0,untrained
0.75,0.0,0,42,300,0,0,untrained
0.8,0.0,0,42,300,0,0,untrained
0.85,0.0,0,42,300,0,0,untrained
0.9,0.0,0,42,300,0,0,untrained
0.5,0.0436893203882434,9,59,335,0,0,untrained
0.55,0.0291262135921623,6,62,338,0,0,untrained
0.6,0.0097087378640541,2,66,342,0,0,untrained
0.65,0.004854368932027,1,67,343,0,0,untrained
0.7,0.0,0,68,344,0,0,untrained
0.75,0.0,0,68,344,0,0,untrained
0.8,0.0,0,68,344,0,0,untrained
0.85,0.0,0,68,344,0,0,untrained
0.9,0.0,0,68,344,0,0,untrained
0.5,0.0047846889952038,1,51,365,0,1,untrained
0.55,0.0047846889952038,1,51,365,0,1,untrained
0.6,0.0,0,52,366,0,1,untrained
0.65,0.0,0,52,366,0,1,untrained
0.7,0.0,0,52,366,0,1,untrained
0.75,0.0,0,52,366,0,1,untrained
0.8,0.0,0,52,366,0,1,untrained
0.85,0.0,0,52,366,0,1,untrained
0.9,0.0,0,52,366,0,1,untrained
0.5,0.0352112676055098,5,43,231,0,0,untrained
0.55,0.0281690140844078,4,44,232,0,0,untrained
0.6,0.0211267605633058,3,45,233,0,0,untrained
0.65,0.0211267605633058,3,45,233,0,0,untrained
0.7,0.0070422535211019,1,47,235,0,0,untrained
0.75,0.0070422535211019,1,47,235,0,0,untrained
0.8,0.0,0,48,236,0,0,untrained
0.85,0.0,0,48,236,0,0,untrained
0.9,0.0,0,48,236,0,0,untrained
