threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.0,0,3,19,0,0,4,best_model_d4
0.55,0.0,0,3,19,0,0,4,best_model_d4
0.6,0.0,0,3,19,0,0,4,best_model_d4
0.65,0.0,0,3,19,0,0,4,best_model_d4
0.7,0.0,0,3,19,0,0,4,best_model_d4
0.75,0.0,0,3,19,0,0,4,best_model_d4
0.8,0.0,0,3,19,0,0,4,best_model_d4
0.85,0.0,0,3,19,0,0,4,best_model_d4
0.9,0.0,0,3,19,0,0,4,best_model_d4
0.5,0.0,0,7,19,0,0,4,best_model_d4
0.55,0.0,0,7,19,0,0,4,best_model_d4
0.6,0.0,0,7,19,0,0,4,best_model_d4
0.65,0.0,0,7,19,0,0,4,best_model_d4
0.7,0.0,0,7,19,0,0,4,best_model_d4
0.75,0.0,0,7,19,0,0,4,best_model_d4
0.8,0.0,0,7,19,0,0,4,best_model_d4
0.85,0.0,0,7,19,0,0,4,best_model_d4
0.9,0.0,0,7,19,0,0,4,best_model_d4
0.5,0.0,0,19,20,0,0,3,best_model_d4
0.55,0.0,0,19,20,0,0,3,best_model_d4
0.6,0.0,0,19,20,0,0,3,best_model_d4
0.65,0.0,0,19,20,0,0,3,best_model_d4
0.7,0.0,0,19,20,0,0,3,best_model_d4
0.75,0.0,0,19,20,0,0,3,best_model_d4
0.8,0.0,0,19,20,0,0,3,best_model_d4
0.85,0.0,0,19,20,0,0,3,best_model_d4
0.9,0.0,0,19,20,0,0,3,best_model_d4
0.5,0.0,0,14,22,0,0,1,best_model_d4
0.55,0.0,0,14,22,0,0,1,best_model_d4
0.6,0.0,0,14,22,0,0,1,best_model_d4
0.65,0.0,0,14,22,0,0,1,best_model_d4
0.7,0.0,0,14,22,0,0,1,best_model_d4
0.75,0.0,0,14,22,0,0,1,best_model_d4
0.8,0.0,0,14,22,0,0,1,best_model_d4
0.85,0.0,0,14,22,0,0,1,best_model_d4
0.9,0.0,0,14,22,0,0,1,best_model_d4
0.5,0.1052631578919667,2,13,17,0,0,4,best_model_d4
0.55,0.0,0,13,17,0,0,6,best_model_d4
0.6,0.0,0,13,17,0,0,6,best_model_d4
0.65,0.0,0,13,17,0,0,6,best_model_d4
0.7,0.0,0,13,17,0,0,6,best_model_d4
0.75,0.0,0,13,17,0,0,6,best_model_d4
0.8,0.0,0,13,17,0,0,6,best_model_d4
0.85,0.0,0,13,17,0,0,6,best_model_d4
0.9,0.0,0,13,17,0,0,6,best_model_d4
0.5,0.0645161290301769,1,7,18,0,0,4,best_model_d4
0.55,0.0645161290301769,1,7,18,0,0,4,best_model_d4
0.6,0.0,0,7,18,0,0,5,best_model_d4
0.65,0.0,0,7,18,0,0,5,best_model_d4
0.7,0.0,0,7,18,0,0,5,best_model_d4
0.75,0.0,0,7,18,0,0,5,best_model_d4
0.8,0.0,0,7,18,0,0,5,best_model_d4
0.85,0.0,0,7,18,0,0,5,best_model_d4
0.9,0.0,0,7,18,0,0,5,best_model_d4
0.5,0.0645161290301769,1,7,19,0,0,3,best_model_d4
0.55,0.0,0,7,19,0,0,4,best_model_d4
0.6,0.0,0,7,19,0,0,4,best_model_d4
0.65,0.0,0,7,19,0,0,4,best_model_d4
0.7,0.0,0,7,19,0,0,4,best_model_d4
0.75,0.0,0,7,19,0,0,4,best_model_d4
0.8,0.0,0,7,19,0,0,4,best_model_d4
0.85,0.0,0,7,19,0,0,4,best_model_d4
0.9,0.0,0,7,19,0,0,4,best_model_d4
0.5,0.0645161290301769,1,7,17,0,0,5,best_model_d4
0.55,0.0,0,7,17,0,0,6,best_model_d4
0.6,0.0,0,7,17,0,0,6,best_model_d4
0.65,0.0,0,7,17,0,0,6,best_model_d4
0.7,0.0,0,7,17,0,0,6,best_model_d4
0.75,0.0,0,7,17,0,0,6,best_model_d4
0.8,0.0,0,7,17,0,0,6,best_model_d4
0.85,0.0,0,7,17,0,0,6,best_model_d4
0.9,0.0,0,7,17,0,0,6,best_model_d4
0.5,0.0,0,7,18,0,0,5,best_model_d4
0.55,0.0,0,7,18,0,0,5,best_model_d4
0.6,0.0,0,7,18,0,0,5,best_model_d4
0.65,0.0,0,7,18,0,0,5,best_model_d4
0.7,0.0,0,7,18,0,0,5,best_model_d4
0.75,0.0,0,7,18,0,0,5,best_model_d4
0.8,0.0,0,7,18,0,0,5,best_model_d4
0.85,0.0,0,7,18,0,0,5,best_model_d4
0.9,0.0,0,7,18,0,0,5,best_model_d4
0.5,0.0526315789459833,1,14,18,0,0,4,best_model_d4
0.55,0.0526315789459833,1,14,18,0,0,4,best_model_d4
0.6,0.0526315789459833,1,14,18,0,0,4,best_model_d4
0.65,0.0526315789459833,1,14,18,0,0,4,best_model_d4
0.7,0.0,0,14,18,0,0,5,best_model_d4
0.75,0.0,0,14,18,0,0,5,best_model_d4
0.8,0.0,0,14,18,0,0,5,best_model_d4
0.85,0.0,0,14,18,0,0,5,best_model_d4
0.9,0.0,0,14,18,0,0,5,best_model_d4
0.5,0.0,0,7,18,0,0,5,best_model_d4
0.55,0.0,0,7,18,0,0,5,best_model_d4
0.6,0.0,0,7,18,0,0,5,best_model_d4
0.65,0.0,0,7,18,0,0,5,best_model_d4
0.7,0.0,0,7,18,0,0,5,best_model_d4
0.75,0.0,0,7,18,0,0,5,best_model_d4
0.8,0.0,0,7,18,0,0,5,best_model_d4
0.85,0.0,0,7,18,0,0,5,best_model_d4
