threshold,f1,tp,fp,fn,merges,splits,val
0.5,0.0,0,7,23,0,0,best_model_d4
0.55,0.0,0,7,23,0,0,best_model_d4
0.6,0.0,0,7,23,0,0,best_model_d4
0.65,0.0,0,7,23,0,0,best_model_d4
0.7,0.0,0,7,23,0,0,best_model_d4
0.75,0.0,0,7,23,0,0,best_model_d4
0.8,0.0,0,7,23,0,0,best_model_d4
0.85,0.0,0,7,23,0,0,best_model_d4
0.9,0.0,0,7,23,0,0,best_model_d4
0.5,0.0,0,11,23,0,0,best_model_d4
0.55,0.0,0,11,23,0,0,best_model_d4
0.6,0.0,0,11,23,0,0,best_model_d4
0.65,0.0,0,11,23,0,0,best_model_d4
0.7,0.0,0,11,23,0,0,best_model_d4
0.75,0.0,0,11,23,0,0,best_model_d4
0.8,0.0,0,11,23,0,0,best_model_d4
0.85,0.0,0,11,23,0,0,best_model_d4
0.9,0.0,0,11,23,0,0,best_model_d4
0.5,0.0,0,22,23,0,0,best_model_d4
0.55,0.0,0,22,23,0,0,best_model_d4
0.6,0.0,0,22,23,0,0,best_model_d4
0.65,0.0,0,22,23,0,0,best_model_d4
0.7,0.0,0,22,23,0,0,best_model_d4
0.75,0.0,0,22,23,0,0,best_model_d4
0.8,0.0,0,22,23,0,0,best_model_d4
0.85,0.0,0,22,23,0,0,best_model_d4
0.9,0.0,0,22,23,0,0,best_model_d4
0.5,0.0,0,15,23,0,0,best_model_d4
0.55,0.0,0,15,23,0,0,best_model_d4
0.6,0.0,0,15,23,0,0,best_model_d4
0.65,0.0,0,15,23,0,0,best_model_d4
0.7,0.0,0,15,23,0,0,best_model_d4
0.75,0.0,0,15,23,0,0,best_model_d4
0.8,0.0,0,15,23,0,0,best_model_d4
0.85,0.0,0,15,23,0,0,best_model_d4
0.9,0.0,0,15,23,0,0,best_model_d4
0.5,0.0952380952358276,2,17,21,0,0,best_model_d4
0.55,0.0,0,19,23,0,0,best_model_d4
0.6,0.0,0,19,23,0,0,best_model_d4
0.65,0.0,0,19,23,0,0,best_model_d4
0.7,0.0,0,19,23,0,0,best_model_d4
0.75,0.0,0,19,23,0,0,best_model_d4
0.8,0.0,0,19,23,0,0,best_model_d4
0.85,0.0,0,19,23,0,0,best_model_d4
0.9,0.0,0,19,23,0,0,best_model_d4
0.5,0.0571428571412245,1,11,22,0,0,best_model_d4
0.55,0.0571428571412245,1,11,22,0,0,best_model_d4
0.6,0.0,0,12,23,0,0,best_model_d4
0.65,0.0,0,12,23,0,0,best_model_d4
0.7,0.0,0,12,23,0,0,best_model_d4
0.75,0.0,0,12,23,0,0,best_model_d4
0.8,0.0,0,12,23,0,0,best_model_d4
0.85,0.0,0,12,23,0,0,best_model_d4
0.9,0.0,0,12,23,0,0,best_model_d4
0.5,0.0588235294100346,1,10,22,0,0,best_model_d4
