threshold,f1,tp,fp,fn,splits,merges,val
0.5,0.8235294117622838,140,30,30,0,1,17
0.55,0.8176470588211245,139,31,31,0,1,17
0.6,0.7999999999976469,136,34,34,0,1,17
0.65,0.729411764703737,124,46,46,0,1,17
0.7,0.623529411762872,106,64,64,0,1,17
0.75,0.4764705882338928,81,89,89,0,1,17
0.8,0.3294117647049135,56,114,114,0,1,17
0.85,0.1941176470582526,33,137,137,0,1,17
0.9,0.0294117647057958,5,165,165,0,1,17
0.5,0.7665847665828831,156,31,64,0,2,17
0.55,0.7469287469269117,152,35,68,0,2,17
0.6,0.7321867321849332,149,38,71,0,2,17
0.65,0.6683046683030263,136,51,84,0,2,17
0.7,0.5454545454532053,111,76,109,0,2,17
0.75,0.4471744471733485,91,96,129,0,2,17
0.8,0.2997542997535633,61,126,159,0,2,17
0.85,0.1670761670757565,34,153,186,0,2,17
0.9,0.029484029483957,6,181,214,0,2,17
0.5,0.7368421052607341,112,57,23,2,1,17
0.55,0.7302631578923346,111,58,24,2,1,17
0.6,0.7105263157871364,108,61,27,2,1,17
0.65,0.6513157894715418,99,70,36,2,1,17
0.7,0.592105263155947,90,79,45,2,1,17
0.75,0.4342105263143612,66,103,69,2,1,17
0.8,0.3157894736831717,48,121,87,2,1,17
0.85,0.1644736842099853,25,144,110,2,1,17
0.9,0.0394736842103964,6,163,129,2,1,17
0.5,0.8037383177545055,129,31,32,2,0,17
0.55,0.7788161993745208,125,35,36,2,0,17
0.6,0.74766355139954,120,40,41,2,0,17
0.65,0.6915887850445745,111,49,50,2,0,17
0.7,0.5856697819296397,94,66,67,2,0,17
0.75,0.5046728971946896,81,79,80,2,0,17
0.8,0.3800623052947662,61,99,100,2,0,17
0.85,0.2554517133948428,41,119,120,2,0,17
0.9,0.112149532709931,18,142,143,2,0,17
0.5,0.781725888322889,154,48,38,1,0,17
0.55,0.7614213197950218,150,52,42,1,0,17
0.6,0.7360406091351878,145,57,47,1,0,17
0.65,0.6954314720794532,137,65,55,1,0,17
0.7,0.6192893400999511,122,80,70,1,0,17
0.75,0.4619289340089799,91,111,101,1,0,17
0.8,0.2994923857860419,59,143,133,1,0,17
0.85,0.1218274111672034,24,178,168,1,0,17
0.9,0.0304568527918008,6,196,186,1,0,17
0.5,0.8624999999973048,138,25,19,0,0,17
0.55,0.8499999999973438,136,27,21,0,0,17
0.6,0.8312499999974023,133,30,24,0,0,17
0.65,0.7562499999976368,121,42,36,0,0,17
0.7,0.6999999999978125,112,51,45,0,0,17
0.75,0.6187499999980665,99,64,58,0,0,17
0.8,0.4499999999985937,72,91,85,0,0,17
0.85,0.2062499999993554,33,130,124,0,0,17
0.9,0.0437499999998632,7,156,150,0,0,17
0.5,0.8333333333309387,145,24,34,0,2,17
0.55,0.8103448275838784,141,28,38,0,2,17
0.6,0.7758620689632878,135,34,44,0,2,17
0.65,0.7471264367794623,130,39,49,0,2,17
0.7,0.7068965517221066,123,46,56,0,2,17
0.75,0.5632183908029793,98,71,81,0,2,17
0.8,0.4712643678147378,82,87,97,0,2,17
0.85,0.2586206896544292,45,124,134,0,2,17
0.9,0.0517241379308858,9,160,170,0,2,17
0.5,0.7965116279046613,137,44,26,0,0,17
0.55,0.7674418604628853,132,49,31,0,0,17
0.6,0.7209302325560438,124,57,39,0,0,17
0.65,0.6686046511608471,115,66,48,0,0,17
0.7,0.5697674418588088,98,83,65,0,0,17
0.75,0.424418604649929,73,108,90,0,0,17
0.8,0.2441860465109181,42,139,121,0,0,17
0.85,0.093023255813683,16,165,147,0,0,17
0.9,0.0174418604650655,3,178,160,0,0,17
0.5,0.7644787644758129,99,33,28,0,0,17
0.55,0.7567567567538349,98,34,29,0,0,17
0.6,0.7335907335879013,95,37,32,0,0,17
0.65,0.6795366795340558,88,44,39,0,0,17
0.7,0.6409266409241663,83,49,44,0,0,17
0.75,0.5714285714263652,74,58,53,0,0,17
0.8,0.4478764478747185,58,74,69,0,0,17
0.85,0.2702702702692268,35,97,92,0,0,17
0.9,0.0463320463318674,6,126,121,0,0,17
0.5,0.7829787234009236,92,32,19,0,1,17
0.55,0.7829787234009236,92,32,19,0,1,17
0.6,0.7574468085074152,89,35,22,0,1,17
0.65,0.7319148936139068,86,38,25,0,1,17
0.7,0.6723404255290539,79,45,32,0,1,17
0.75,0.6042553191463649,71,53,40,0,1,17
0.8,0.4595744680831508,54,70,57,0,1,17
0.85,0.2212765957437392,26,98,85,0,1,17
0.9,0.068085106382689,8,116,103,0,1,17
