threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.827586206882283,24,4,0,0,0,6,17
0.55,0.7857142857002551,22,4,0,0,0,8,17
0.6,0.5833333333211806,14,4,0,0,0,16,17
0.65,0.454545454535124,10,4,0,0,0,20,17
0.7,0.2999999999925,6,4,0,0,0,24,17
0.75,0.2564102564036818,5,4,0,0,0,25,17
0.8,0.1111111111080247,2,4,0,0,0,28,17
0.85,0.0,0,4,0,0,0,30,17
0.9,0.0,0,4,0,0,0,30,17
0.5,0.779661016935938,23,5,2,0,0,6,17
0.55,0.7368421052502309,21,5,2,0,0,8,17
0.6,0.6415094339501602,17,5,2,0,0,12,17
0.65,0.5306122448871304,13,5,2,0,0,16,17
0.7,0.3999999999911111,9,5,2,0,0,20,17
0.75,0.285714285707483,6,5,2,0,0,23,17
0.8,0.2439024390184414,5,5,2,0,0,24,17
0.85,0.1052631578919667,2,5,2,0,0,27,17
0.9,0.0,0,5,2,0,0,29,17
0.5,0.8666666666522223,26,4,0,0,0,4,17
0.55,0.7636363636224794,21,4,0,0,0,9,17
0.6,0.6122448979466889,15,4,0,0,0,15,17
0.65,0.341463414625818,7,4,0,0,0,23,17
0.7,0.1111111111080247,2,4,0,0,0,28,17
0.75,0.1111111111080247,2,4,0,0,0,28,17
0.8,0.0,0,4,0,0,0,30,17
0.85,0.0,0,4,0,0,0,30,17
0.9,0.0,0,4,0,0,0,30,17
0.5,0.8421052631431211,24,4,0,0,1,5,17
0.55,0.7058823529273357,18,4,0,0,1,11,17
0.6,0.6530612244764682,16,4,0,0,1,13,17
0.65,0.5333333333214815,12,4,0,0,1,17,17
0.7,0.3076923076844182,6,4,0,0,1,23,17
0.75,0.166666666662037,3,4,0,0,1,26,17
0.8,0.0588235294100346,1,4,0,0,1,28,17
0.85,0.0,0,4,0,0,1,29,17
0.9,0.0,0,4,0,0,1,29,17
0.5,0.771929824547861,22,3,0,0,0,10,17
0.55,0.7272727272595042,20,3,0,0,0,12,17
0.6,0.6538461538335799,17,3,0,0,0,15,17
0.65,0.5714285714169096,14,3,0,0,0,18,17
0.7,0.3720930232471606,8,3,0,0,0,24,17
0.75,0.24999999999375,5,3,0,0,0,27,17
0.8,0.1578947368379501,3,3,0,0,0,29,17
0.85,0.0,0,3,0,0,0,32,17
0.9,0.0,0,3,0,0,0,32,17
0.5,0.8474576271042804,25,4,0,0,0,5,17
0.55,0.7636363636224794,21,4,0,0,0,9,17
0.6,0.6666666666535949,17,4,0,0,0,13,17
0.65,0.6122448979466889,15,4,0,0,0,15,17
0.7,0.5217391304234404,12,4,0,0,0,18,17
0.75,0.2999999999925,6,4,0,0,0,24,17
0.8,0.2564102564036818,5,4,0,0,0,25,17
0.85,0.1111111111080247,2,4,0,0,0,28,17
0.9,0.0,0,4,0,0,0,30,17
0.5,0.8421052631431211,24,2,0,0,0,7,17
0.55,0.7307692307551775,19,2,0,0,0,12,17
0.6,0.6799999999864,17,2,0,0,0,14,17
0.65,0.6249999999869792,15,2,0,0,0,16,17
0.7,0.4285714285612245,9,2,0,0,0,22,17
0.75,0.2631578947299169,5,2,0,0,0,26,17
0.8,0.166666666662037,3,2,0,0,0,28,17
0.85,0.0588235294100346,1,2,0,0,0,30,17
0.9,0.0,0,2,0,0,0,31,17
0.5,0.8474576271042804,25,3,0,0,0,6,17
0.55,0.807017543845491,23,3,0,0,0,8,17
0.6,0.7169811320619438,19,3,0,0,0,12,17
0.65,0.6122448979466889,15,3,0,0,0,16,17
0.7,0.4186046511530557,9,3,0,0,0,22,17
0.75,0.2999999999925,6,3,0,0,0,25,17
0.8,0.1111111111080247,2,3,0,0,0,29,17
0.85,0.0571428571412244,1,3,0,0,0,30,17
0.9,0.0,0,3,0,0,0,31,17
0.5,0.8135593220201092,24,4,0,0,0,7,17
0.55,0.7499999999866072,21,4,0,0,0,10,17
0.6,0.541666666655382,13,4,0,0,0,18,17
0.65,0.4782608695548204,11,4,0,0,0,20,17
0.7,0.4090909090816116,9,4,0,0,0,22,17
0.75,0.2051282051229454,4,4,0,0,0,27,17
0.8,0.1081081081051862,2,4,0,0,0,29,17
0.85,0.0,0,4,0,0,0,31,17
0.9,0.0,0,4,0,0,0,31,17
0.5,0.7450980392010765,19,3,0,0,1,10,17
0.55,0.7450980392010765,19,3,0,0,1,10,17
0.6,0.5777777777649383,13,3,0,0,1,16,17
0.65,0.4390243902331945,9,3,0,0,1,20,17
0.7,0.2222222222160494,4,3,0,0,1,25,17
0.75,0.1176470588200692,2,3,0,0,1,27,17
0.8,0.0,0,3,0,0,1,29,17
0.85,0.0,0,3,0,0,1,29,17
0.9,0.0,0,3,0,0,1,29,17
0.5,0.7777777777633745,21,3,0,0,0,9,17
0.55,0.5957446808383885,14,3,0,0,0,16,17
0.6,0.4999999999886364,11,3,0,0,0,19,17
0.65,0.4285714285612245,9,3,0,0,0,21,17
