threshold,f1,tp,fp,fn,splits,merges,val
0.5,0.7499999999882813,24,10,6,0,0,17
0.55,0.6874999999892578,22,12,8,0,0,17
0.6,0.437499999993164,14,20,16,0,0,17
0.65,0.3124999999951172,10,24,20,0,0,17
0.7,0.1874999999970703,6,28,24,0,0,17
0.75,0.1562499999975586,5,29,25,0,0,17
0.8,0.0624999999990234,2,32,28,0,0,17
0.85,0.0,0,34,30,0,0,17
0.9,0.0,0,34,30,0,0,17
0.5,0.7076923076814201,23,11,8,0,0,17
0.55,0.6461538461439053,21,13,10,0,0,17
0.6,0.5230769230688758,17,17,14,0,0,17
0.65,0.3999999999938461,13,21,18,0,0,17
0.7,0.2769230769188165,9,25,22,0,0,17
0.75,0.1846153846125443,6,28,25,0,0,17
0.8,0.1538461538437869,5,29,26,0,0,17
0.85,0.0615384615375147,2,32,29,0,0,17
0.9,0.0,0,34,31,0,0,17
0.5,0.8124999999873046,26,8,4,0,0,17
0.55,0.6562499999897461,21,13,9,0,0,17
0.6,0.4687499999926757,15,19,15,0,0,17
0.65,0.218749999996582,7,27,23,0,0,17
0.7,0.0624999999990234,2,32,28,0,0,17
0.75,0.0624999999990234,2,32,28,0,0,17
0.8,0.0,0,34,30,0,0,17
0.85,0.0,0,34,30,0,0,17
0.9,0.0,0,34,30,0,0,17
0.5,0.7384615384501775,24,10,7,0,1,17
0.55,0.5538461538376331,18,16,13,0,1,17
0.6,0.4923076923001183,16,18,15,0,1,17
0.65,0.3692307692250887,12,22,19,0,1,17
0.7,0.1846153846125443,6,28,25,0,1,17
0.75,0.0923076923062721,3,31,28,0,1,17
0.8,0.0307692307687573,1,33,30,0,1,17
0.85,0.0,0,34,31,0,1,17
0.9,0.0,0,34,31,0,1,17
0.5,0.6567164179006459,22,13,10,0,0,17
0.55,0.5970149253642236,20,15,12,0,0,17
0.6,0.50746268655959,17,18,15,0,0,17
0.65,0.4179104477549565,14,21,18,0,0,17
0.7,0.2388059701456894,8,27,24,0,0,17
0.75,0.1492537313410559,5,30,27,0,0,17
0.8,0.0895522388046335,3,32,29,0,0,17
0.85,0.0,0,35,32,0,0,17
0.9,0.0,0,35,32,0,0,17
0.5,0.7812499999877929,25,9,5,0,0,17
0.55,0.6562499999897461,21,13,9,0,0,17
0.6,0.5312499999916992,17,17,13,0,0,17
0.65,0.4687499999926757,15,19,15,0,0,17
0.7,0.3749999999941406,12,22,18,0,0,17
0.75,0.1874999999970703,6,28,24,0,0,17
0.8,0.1562499999975586,5,29,25,0,0,17
0.85,0.0624999999990234,2,32,28,0,0,17
0.9,0.0,0,34,30,0,0,17
0.5,0.7499999999882813,24,9,7,0,0,17
0.55,0.5937499999907226,19,14,12,0,0,17
0.6,0.5312499999916992,17,16,14,0,0,17
0.65,0.4687499999926757,15,18,16,0,0,17
0.7,0.2812499999956054,9,24,22,0,0,17
0.75,0.1562499999975586,5,28,26,0,0,17
0.8,0.0937499999985351,3,30,28,0,0,17
0.85,0.0312499999995117,1,32,30,0,0,17
0.9,0.0,0,33,31,0,0,17
0.5,0.7692307692189349,25,9,6,0,0,17
0.55,0.7076923076814201,23,11,8,0,0,17
0.6,0.5846153846063905,19,15,12,0,0,17
0.65,0.4615384615313609,15,19,16,0,0,17
0.7,0.2769230769188165,9,25,22,0,0,17
0.75,0.1846153846125443,6,28,25,0,0,17
0.8,0.0615384615375147,2,32,29,0,0,17
0.85,0.0307692307687573,1,33,30,0,0,17
0.9,0.0,0,34,31,0,0,17
0.5,0.727272727261708,24,11,7,0,0,17
0.55,0.6363636363539945,21,14,10,0,0,17
0.6,0.3939393939334251,13,22,18,0,0,17
0.65,0.3333333333282828,11,24,20,0,0,17
0.7,0.2727272727231404,9,26,22,0,0,17
0.75,0.1212121212102846,4,31,27,0,0,17
0.8,0.0606060606051423,2,33,29,0,0,17
0.85,0.0,0,35,31,0,0,17
0.9,0.0,0,35,31,0,0,17
