threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.6666666666549708,19,8,1,0,0,10,17
0.55,0.6428571428456633,18,8,1,0,0,11,17
0.6,0.4799999999904001,12,8,1,0,0,17,17
0.65,0.3478260869489603,8,8,1,0,0,21,17
0.7,0.2727272727210744,6,8,1,0,0,23,17
0.75,0.2325581395294754,5,8,1,0,0,24,17
0.8,0.0999999999974999,2,8,1,0,0,27,17
0.85,0.0,0,8,1,0,0,29,17
0.9,0.0,0,8,1,0,0,29,17
0.5,0.6545454545335537,18,6,2,0,0,11,17
0.55,0.6037735848942685,16,6,2,0,0,13,17
0.6,0.5199999999896,13,6,2,0,0,16,17
0.65,0.3913043478175804,9,6,2,0,0,20,17
0.7,0.2790697674353705,6,6,2,0,0,23,17
0.75,0.2380952380895692,5,6,2,0,0,24,17
0.8,0.2380952380895692,5,6,2,0,0,24,17
0.85,0.1025641025614727,2,6,2,0,0,27,17
0.9,0.0,0,6,2,0,0,29,17
0.5,0.7142857142729593,20,6,1,0,0,9,17
0.55,0.5882352941061131,15,6,1,0,0,14,17
0.6,0.4680851063730195,11,6,1,0,0,18,17
0.65,0.285714285707483,6,6,1,0,0,23,17
0.7,0.1052631578919667,2,6,1,0,0,27,17
0.75,0.1052631578919667,2,6,1,0,0,27,17
0.8,0.0,0,6,1,0,0,29,17
0.85,0.0,0,6,1,0,0,29,17
0.9,0.0,0,6,1,0,0,29,17
0.5,0.7407407407270233,20,5,1,0,1,8,17
0.55,0.5833333333211806,14,5,1,0,1,14,17
0.6,0.5217391304234404,12,5,1,0,1,16,17
0.65,0.4545454545351239,10,5,1,0,1,18,17
0.7,0.2999999999925,6,5,1,0,1,22,17
0.75,0.1621621621577794,3,5,1,0,1,25,17
0.8,0.0571428571412245,1,5,1,0,1,27,17
0.85,0.0,0,5,1,0,1,28,17
0.9,0.0,0,5,1,0,1,28,17
0.5,0.6428571428456633,18,6,3,0,0,11,17
0.55,0.5925925925816187,16,6,3,0,0,13,17
0.6,0.5384615384511835,14,6,3,0,0,15,17
0.65,0.4489795918275719,11,6,3,0,0,18,17
