threshold,f1,tp,fp,fn,splits,merges,val
0.5,0.5671641790960125,19,18,11,0,0,17
0.55,0.5373134328278013,18,19,12,0,0,17
0.6,0.3582089552185342,12,25,18,0,0,17
0.65,0.2388059701456894,8,29,22,0,0,17
0.7,0.1791044776092671,6,31,24,0,0,17
0.75,0.1492537313410559,5,32,25,0,0,17
0.8,0.0597014925364223,2,35,28,0,0,17
0.85,0.0,0,37,30,0,0,17
0.9,0.0,0,37,30,0,0,17
0.5,0.5454545454462809,18,17,13,0,0,17
0.55,0.4848484848411386,16,19,15,0,0,17
0.6,0.3939393939334251,13,22,18,0,0,17
0.65,0.2727272727231405,9,26,22,0,0,17
0.7,0.181818181815427,6,29,25,0,0,17
0.75,0.1515151515128558,5,30,26,0,0,17
0.8,0.1515151515128558,5,30,26,0,0,17
0.85,0.0606060606051423,2,33,29,0,0,17
0.9,0.0,0,35,31,0,0,17
0.5,0.6153846153751479,20,15,10,0,0,17
0.55,0.4615384615313609,15,20,15,0,0,17
0.6,0.3384615384563313,11,24,19,0,0,17
0.65,0.1846153846125444,6,29,24,0,0,17
0.7,0.0615384615375147,2,33,28,0,0,17
0.75,0.0615384615375147,2,33,28,0,0,17
0.8,0.0,0,35,30,0,0,17
0.85,0.0,0,35,30,0,0,17
0.9,0.0,0,35,30,0,0,17
0.5,0.6153846153751479,20,14,11,0,1,17
0.55,0.4307692307626035,14,20,17,0,1,17
0.6,0.3692307692250888,12,22,19,0,1,17
0.65,0.3076923076875739,10,24,21,0,1,17
0.7,0.1846153846125444,6,28,25,0,1,17
0.75,0.0923076923062721,3,31,28,0,1,17
0.8,0.0307692307687574,1,33,30,0,1,17
0.85,0.0,0,34,31,0,1,17
0.9,0.0,0,34,31,0,1,17
0.5,0.5373134328278013,18,17,14,0,0,17
0.55,0.4776119402913789,16,19,16,0,0,17
0.6,0.4179104477549565,14,21,18,0,0,17
0.65,0.3283582089503229,11,24,21,0,0,17
0.7,0.2089552238774782,7,28,25,0,0,17
0.75,0.1492537313410559,5,30,27,0,0,17
0.8,0.0895522388046335,3,32,29,0,0,17
0.85,0.0,0,35,32,0,0,17
0.9,0.0,0,35,32,0,0,17
0.5,0.6461538461439053,21,14,9,0,0,17
0.55,0.4923076923001184,16,19,14,0,0,17
0.6,0.3999999999938461,13,22,17,0,0,17
0.65,0.3692307692250888,12,23,18,0,0,17
0.7,0.3384615384563313,11,24,19,0,0,17
0.75,0.1846153846125444,6,29,24,0,0,17
0.8,0.1538461538437869,5,30,25,0,0,17
0.85,0.0615384615375147,2,33,28,0,0,17
0.9,0.0,0,35,30,0,0,17
0.5,0.5937499999907226,19,14,12,0,0,17
0.55,0.4687499999926758,15,18,16,0,0,17
0.6,0.3749999999941406,12,21,19,0,0,17
0.65,0.3124999999951172,10,23,21,0,0,17
0.7,0.218749999996582,7,26,24,0,0,17
0.75,0.0937499999985351,3,30,28,0,0,17
0.8,0.0937499999985351,3,30,28,0,0,17
0.85,0.0312499999995117,1,32,30,0,0,17
0.9,0.0,0,33,31,0,0,17
0.5,0.6153846153751479,20,14,11,0,0,17
0.55,0.5538461538376331,18,16,13,0,0,17
0.6,0.4615384615313609,15,19,16,0,0,17
0.65,0.3999999999938461,13,21,18,0,0,17
0.7,0.2461538461500592,8,26,23,0,0,17
0.75,0.1538461538437869,5,29,26,0,0,17
0.8,0.0615384615375147,2,32,29,0,0,17
0.85,0.0307692307687574,1,33,30,0,0,17
0.9,0.0,0,34,31,0,0,17
0.5,0.5428571428493877,19,20,12,0,0,17
0.55,0.4571428571363265,16,23,15,0,0,17
0.6,0.3142857142812245,11,28,20,0,0,17
0.65,0.2857142857102041,10,29,21,0,0,17
0.7,0.2285714285681633,8,31,23,0,0,17
0.75,0.1142857142840816,4,35,27,0,0,17
0.8,0.0571428571420408,2,37,29,0,0,17
0.85,0.0,0,39,31,0,0,17
0.9,0.0,0,39,31,0,0,17
0.5,0.5151515151437098,17,18,14,0,1,17
0.55,0.4848484848411386,16,19,15,0,1,17
0.6,0.3333333333282828,11,24,20,0,1,17
0.65,0.2424242424205693,8,27,23,0,1,17
0.7,0.1212121212102846,4,31,27,0,1,17
0.75,0.0606060606051423,2,33,29,0,1,17
0.8,0.0,0,35,31,0,1,17
0.85,0.0,0,35,31,0,1,17
0.9,0.0,0,35,31,0,1,17
0.5,0.5312499999916992,17,17,13,0,0,17
0.55,0.3437499999946289,11,23,19,0,0,17
0.6,0.2812499999956054,9,25,21,0,0,17
0.65,0.218749999996582,7,27,23,0,0,17
0.7,0.1562499999975586,5,29,25,0,0,17
0.75,0.0624999999990234,2,32,28,0,0,17
0.8,0.0,0,34,30,0,0,17
0.85,0.0,0,34,30,0,0,17
0.9,0.0,0,34,30,0,0,17
0.5,0.5245901639258265,16,15,14,0,0,17
0.55,0.3934426229443698,12,19,18,0,0,17
0.6,0.3278688524536415,10,21,20,0,0,17
0.65,0.2622950819629132,8,23,22,0,0,17
0.7,0.1967213114721849,6,25,24,0,0,17
0.75,0.1311475409814566,4,27,26,0,0,17
0.8,0.0,0,31,30,0,0,17
0.85,0.0,0,31,30,0,0,17
0.9,0.0,0,31,30,0,0,17
0.5,0.6984126984016126,22,11,8,0,0,17
0.55,0.5396825396739733,17,16,13,0,0,17
0.6,0.4444444444373898,14,19,16,0,0,17
0.65,0.3174603174552784,10,23,20,0,0,17
0.7,0.2222222222186949,7,26,23,0,0,17
0.75,0.0317460317455278,1,32,29,0,0,17
0.8,0.0,0,33,30,0,0,17
0.85,0.0,0,33,30,0,0,17
0.9,0.0,0,33,30,0,0,17
0.5,0.5624999999912109,18,16,12,0,0,17
0.55,0.5312499999916992,17,17,13,0,0,17
0.6,0.3749999999941406,12,22,18,0,0,17
0.65,0.3437499999946289,11,23,19,0,0,17
0.7,0.218749999996582,7,27,23,0,0,17
0.75,0.1249999999980468,4,30,26,0,0,17
0.8,0.0312499999995117,1,33,29,0,0,17
0.85,0.0,0,34,30,0,0,17
0.9,0.0,0,34,30,0,0,17
0.5,0.6153846153751479,20,15,10,0,0,17
0.55,0.5846153846063905,19,16,11,0,0,17
0.6,0.4923076923001184,16,19,14,0,0,17
0.65,0.3076923076875739,10,25,20,0,0,17
0.7,0.2153846153813017,7,28,23,0,0,17
0.75,0.1538461538437869,5,30,25,0,0,17
0.8,0.1230769230750295,4,31,26,0,0,17
0.85,0.0307692307687574,1,34,29,0,0,17
0.9,0.0,0,35,30,0,0,17
0.5,0.6249999999902344,20,15,9,0,0,17
0.55,0.4687499999926758,15,20,14,0,0,17
0.6,0.4062499999936523,13,22,16,0,0,17
0.65,0.2499999999960937,8,27,21,0,0,17
0.7,0.1562499999975586,5,30,24,0,0,17
0.75,0.0624999999990234,2,33,27,0,0,17
0.8,0.0312499999995117,1,34,28,0,0,17
0.85,0.0,0,35,29,0,0,17
0.9,0.0,0,35,29,0,0,17
0.5,0.4999999999916667,15,14,16,0,0,17
0.55,0.3999999999933333,12,17,19,0,0,17
0.6,0.2666666666622222,8,21,23,0,0,17
0.65,0.1666666666638889,5,24,26,0,0,17
0.7,0.0999999999983333,3,26,28,0,0,17
0.75,0.0666666666655555,2,27,29,0,0,17
0.8,0.0333333333327777,1,28,30,0,0,17
0.85,0.0,0,29,31,0,0,17
0.9,0.0,0,29,31,0,0,17
0.5,0.3749999999941406,12,22,18,0,0,17
0.55,0.2812499999956054,9,25,21,0,0,17
0.6,0.1562499999975586,5,29,25,0,0,17
0.65,0.0937499999985351,3,31,27,0,0,17
0.7,0.0937499999985351,3,31,27,0,0,17
0.75,0.0,0,34,30,0,0,17
0.8,0.0,0,34,30,0,0,17
0.85,0.0,0,34,30,0,0,17
0.9,0.0,0,34,30,0,0,17
0.5,0.3999999999938461,13,21,18,0,0,17
0.55,0.3384615384563313,11,23,20,0,0,17
0.6,0.2461538461500592,8,26,23,0,0,17
0.65,0.1538461538437869,5,29,26,0,0,17
0.7,0.1538461538437869,5,29,26,0,0,17
0.75,0.0923076923062721,3,31,28,0,0,17
0.8,0.0,0,34,31,0,0,17
0.85,0.0,0,34,31,0,0,17
0.9,0.0,0,34,31,0,0,17
0.5,0.412698412691862,13,20,17,0,0,17
0.55,0.3174603174552784,10,23,20,0,0,17
0.6,0.2857142857097506,9,24,21,0,0,17
0.65,0.2539682539642227,8,25,22,0,0,17
0.7,0.1269841269821113,4,29,26,0,0,17
0.75,0.0634920634910556,2,31,28,0,0,17
0.8,0.0,0,33,30,0,0,17
0.85,0.0,0,33,30,0,0,17
0.9,0.0,0,33,30,0,0,17
