threshold,f1,tp,fp,fn,splits,merges,inaccurate_masks,val
0.5,0.8149882903962179,174,24,33,0,3,22,1
0.55,0.7961630695424553,166,24,33,0,4,28,1
0.6,0.763546798027676,155,24,33,0,4,39,1
0.65,0.7028423772591658,136,24,33,0,4,58,1
0.7,0.6284153005447312,115,24,33,0,4,79,1
0.75,0.5364431486864827,92,24,33,0,4,102,1
0.8,0.3322259136201587,50,24,33,0,4,144,1
0.85,0.1611721611715708,22,24,33,0,4,172,1
0.9,0.0236220472440014,3,24,33,0,4,191,1
0.5,0.9071038251316552,83,1,14,0,0,2,1
0.55,0.90109890109395,82,1,14,0,0,3,1
0.6,0.8888888888839507,80,1,14,0,0,5,1
0.65,0.8571428571379592,75,1,14,0,0,10,1
0.7,0.7421383647752067,59,1,14,0,0,26,1
0.75,0.630136986297054,46,1,14,0,0,39,1
0.8,0.4126984126951373,26,1,14,0,0,59,1
0.85,0.1981981981964126,11,1,14,0,0,74,1
0.9,0.0198019801978237,1,1,14,0,0,84,1
0.5,0.8969072164902222,87,3,14,0,1,3,1
0.55,0.8854166666620552,85,3,14,0,1,5,1
0.6,0.8829787233995586,83,3,14,0,2,5,1
0.65,0.8333333333287037,75,3,14,0,2,13,1
0.7,0.779069767437331,67,3,14,0,2,21,1
0.75,0.6451612903184184,50,3,14,0,2,38,1
0.8,0.4444444444411523,30,3,14,0,2,58,1
0.85,0.3064516129007544,19,3,14,0,2,69,1
0.9,0.0733944954121706,4,3,14,0,2,84,1
0.5,0.9169675090219604,127,7,13,0,1,3,1
0.55,0.9130434782575616,126,7,13,0,1,4,1
0.6,0.9051094890477916,124,7,13,0,1,6,1
0.65,0.8929889298860038,121,7,13,0,1,9,1
0.7,0.8505747126404193,111,7,13,0,1,19,1
0.75,0.7603305785092549,92,7,13,0,1,38,1
0.8,0.5294117647032872,54,7,13,0,1,76,1
0.85,0.2658959537556885,23,7,13,0,1,107,1
0.9,0.0645161290318418,5,7,13,0,1,125,1
0.5,0.9395604395578584,171,13,6,0,0,3,1
0.55,0.9277777777752008,167,13,6,0,0,7,1
0.6,0.9126760563354572,162,13,6,0,0,12,1
0.65,0.906515580733976,160,13,6,0,0,14,1
0.7,0.8680351906132903,148,13,6,0,0,26,1
0.75,0.7823343848555763,124,13,6,0,0,50,1
0.8,0.6263345195707248,88,13,6,0,0,86,1
0.85,0.3433476394835049,40,13,6,0,0,134,1
0.9,0.0603015075373854,6,13,6,0,0,168,1
0.5,0.8975609756053778,92,8,7,0,0,6,1
0.55,0.8921568627407248,91,8,7,0,0,7,1
0.6,0.8756218905429074,88,8,7,0,0,10,1
0.65,0.846938775505883,83,8,7,0,0,15,1
0.7,0.7849462365549197,73,8,7,0,0,25,1
0.75,0.6547619047580074,55,8,7,0,0,43,1
0.8,0.5962732919217624,48,8,7,0,0,50,1
0.85,0.3623188405770847,25,8,7,0,0,73,1
0.9,0.0683760683754839,4,8,7,0,0,94,1
0.5,0.8504983388676064,128,21,13,0,0,11,1
0.55,0.8389261744938291,125,21,13,0,0,14,1
0.6,0.8191126279835526,120,21,13,0,0,19,1
0.65,0.7642857142829848,107,21,13,0,0,32,1
0.7,0.6893939393913281,91,21,13,0,0,48,1
0.75,0.5761316872404275,70,21,13,0,0,69,1
0.8,0.4272727272707851,47,21,13,0,0,92,1
0.85,0.234693877549823,23,21,13,0,0,116,1
0.9,0.0114942528734971,1,21,13,0,0,138,1
0.5,0.8436018957305991,89,18,10,0,2,5,1
0.55,0.8155339805785654,84,18,10,0,2,10,1
0.6,0.7920792079168709,80,18,10,0,2,14,1
0.65,0.7357512953329755,71,18,10,0,2,23,1
0.7,0.6214689265501613,55,18,10,0,2,39,1
0.75,0.5185185185153178,42,18,10,0,3,50,1
0.8,0.3333333333310185,24,18,10,0,3,68,1
0.85,0.1818181818168044,12,18,10,0,3,80,1
0.9,0.0487804878044814,3,18,10,0,3,89,1
0.5,0.9072164948406845,88,9,7,1,0,2,1
0.55,0.9015544041404066,87,9,7,1,0,3,1
0.6,0.8958333333286675,86,9,7,1,0,4,1
0.65,0.8663101604231749,81,9,7,1,0,9,1
0.7,0.815642458096002,73,9,7,1,0,17,1
0.75,0.7455621301731032,63,9,7,1,0,27,1
0.8,0.5866666666627556,44,9,7,1,0,46,1
0.85,0.2622950819650631,16,9,7,1,0,74,1
0.9,0.055045871559128,3,9,7,1,0,87,1
0.5,0.9215686274479687,141,13,9,1,0,2,1
0.55,0.918032786882236,140,13,9,1,0,3,1
0.6,0.899999999997,135,13,9,1,0,8,1
0.65,0.8698630136956512,127,13,9,1,0,16,1
0.7,0.8214285714256377,115,13,9,1,0,28,1
0.75,0.7404580152643494,97,13,9,1,0,46,1
0.8,0.5398230088471689,61,13,9,1,0,82,1
0.85,0.2989690721634074,29,13,9,1,0,114,1
0.9,0.081395348836736,7,13,9,1,0,136,1
0.5,0.8749999999978967,182,7,23,0,4,22,10
0.55,0.8181818181797521,162,7,23,0,4,42,10
0.6,0.7486631016022763,140,7,23,0,4,64,10
0.65,0.6704545454526408,118,7,23,0,4,86,10
0.7,0.5688073394478018,93,7,23,0,4,111,10
0.75,0.3806228373689252,55,7,23,0,4,149,10
0.8,0.2205323193907964,29,7,23,0,4,175,10
0.85,0.0740740740737692,9,7,23,0,4,195,10
0.9,0.03361344537801,4,7,23,0,4,200,10
0.5,0.86033519552592,77,3,13,0,0,9,10
0.55,0.8070175438549297,69,3,13,0,0,17,10
0.6,0.7636363636317356,63,3,13,0,0,23,10
0.65,0.6490066225122583,49,3,13,0,0,37,10
0.7,0.5531914893577788,39,3,13,0,0,47,10
0.75,0.3809523809493575,24,3,13,0,0,62,10
0.8,0.2413793103427467,14,3,13,0,0,72,10
0.85,0.1284403669712987,7,3,13,0,0,79,10
0.9,0.0754716981124955,4,3,13,0,0,82,10
0.5,0.8376963350741482,80,7,12,0,1,12,10
0.55,0.8152173912999173,75,7,12,0,2,15,10
0.6,0.7325581395306247,63,7,12,0,2,27,10
0.65,0.6374999999960157,51,7,12,0,2,39,10
0.7,0.453900709216639,32,7,12,0,2,58,10
0.75,0.3851851851823319,26,7,12,0,2,64,10
0.8,0.1680672268893439,10,7,12,0,2,80,10
0.85,0.0707964601763646,4,7,12,0,2,86,10
0.9,0.0360360360357113,2,7,12,0,2,88,10
0.5,0.8967971530217196,126,12,11,0,1,6,10
0.55,0.8686131386829613,119,12,11,0,1,13,10
0.6,0.8076923076892012,105,12,11,0,1,27,10
0.65,0.7029288702899459,84,12,11,0,1,48,10
0.7,0.5779816513734956,63,12,11,0,1,69,10
0.75,0.418367346936641,41,12,11,0,1,91,10
0.8,0.2485875706200644,22,12,11,0,1,110,10
0.85,0.1656804733718007,14,12,11,0,1,118,10
0.9,0.0254777070062071,2,12,11,0,1,130,10
0.5,0.9226361031492188,161,12,5,0,2,10,10
0.55,0.9058823529385122,154,12,5,0,3,15,10
0.6,0.8623853210982801,141,12,5,0,3,28,10
0.65,0.8115015974414969,127,12,5,0,3,42,10
0.7,0.6808510638273729,96,12,5,0,3,73,10
0.75,0.50602409638351,63,12,5,0,3,106,10
0.8,0.3090909090895041,34,12,5,0,3,135,10
0.85,0.1116751269029864,11,12,5,0,3,158,10
0.9,0.0212765957445676,2,12,5,0,3,167,10
0.5,0.8034934497781507,92,32,7,0,0,6,10
0.55,0.7657657657623164,85,32,7,0,0,13,10
0.6,0.7373271889366944,80,32,7,0,0,18,10
0.65,0.6889952153077082,72,32,7,0,0,26,10
0.7,0.5729166666636828,55,32,7,0,0,43,10
0.75,0.45197740112739,40,32,7,0,0,58,10
0.8,0.3292682926809191,27,32,7,0,0,71,10
0.85,0.1973684210513331,15,32,7,0,0,83,10
0.9,0.0839160839154971,6,32,7,0,0,92,10
0.5,0.7762237762210622,111,25,11,0,1,28,10
0.55,0.7499999999973215,105,25,11,0,1,34,10
0.6,0.6988847583617143,94,25,11,0,1,45,10
0.65,0.5772357723553772,71,25,11,0,1,68,10
0.7,0.484848484846386,56,25,11,0,1,83,10
0.75,0.3490566037719384,37,25,11,0,1,102,10
0.8,0.24999999999875,25,25,11,0,1,114,10
0.85,0.0769230769226542,7,25,11,0,1,132,10
0.9,0.0337078651683499,3,25,11,0,1,136,10
0.5,0.7230046948322864,77,32,11,0,2,16,10
0.55,0.6666666666633987,68,32,11,0,2,25,10
0.6,0.5979381443268148,58,32,11,0,2,35,10
0.65,0.5531914893587596,52,32,11,0,2,41,10
0.7,0.4367816091928921,38,32,11,0,2,55,10
0.75,0.2709677419337357,21,32,11,0,3,70,10
0.8,0.1517241379299881,11,32,11,0,3,80,10
0.85,0.0857142857136734,6,32,11,0,3,85,10
0.9,0.0,0,32,11,0,3,91,10
0.5,0.8615384615340435,84,13,9,0,0,5,10
0.55,0.8437499999956055,81,13,9,0,0,8,10
0.6,0.8191489361658556,77,13,9,0,0,12,10
0.65,0.7802197802154933,71,13,9,0,0,18,10
0.7,0.6463414634106931,53,13,9,0,0,36,10
0.75,0.5298013244998027,40,13,9,0,0,49,10
0.8,0.4142857142827551,29,13,9,0,0,60,10
0.85,0.2519685039350238,16,13,9,0,0,73,10
0.9,0.0353982300881823,2,13,9,0,0,87,10
0.5,0.8598726114622297,135,26,11,0,0,7,10
